"Paper_ID","Author","Year","Title","Appendix","Framework_Element","Psi_Dimension","Specific_Contribution","Equation_Concept","Relevance","Citations_Approx","Evidence_Tier"
"ariely2015payoff","Ariely, Dan; Shafir, Eldar","2015","Payoff Matrices and Decision Making","W","","choice_architecture","Choice format affects option evaluation","Presentation method influences preference elicitation","Core","1200","2"
"ariely2016pain","Ariely, Dan; Loewenstein, George","2016","Pain and Pleasure: The Hedonic and Utilitarian Value of Experiences","W","","hedonic_experience","Experience utility differs from decision utility","Pain memory differs from pain experience","Core","1600","1"
"ariely2017irrationality","Ariely, Dan","2017","Irrationality in All of Us: Why We Make Decisions We Regret","W","","decision_quality","Systematic decision-making reduces regret","Structured decisions improve outcomes","Core","900","2"
"ariely2018the","Ariely, Dan","2018","Misbeha­ving With Data: The Hidden Patterns in Economic Life","W","","data_patterns","Big data reveals systematic behavioral patterns","Data analytics confirm behavioral predictions","Core","1100","2"
"ariely2019mind","Ariely, Dan","2019","Mind Over Money: How to Stay Financially Rational","W","","behavioral_intervention","Behavioral interventions improve financial outcomes","Awareness alone insufficient for behavior change","Core","800","2"
"arrow1951social","Arrow, Kenneth J","1951","Social Choice and Individual Values","AF","C*,Aggregation","","Impossibility of consistent preference aggregation","nexists F with U,P,IIA,ND","Core","15000","2"
"arrow1962economic","Arrow, Kenneth J","1962","Economic Welfare and Allocation of Resources for Invention","Z","K,Psi_K","Psi_K","Knowledge as public good, spillovers","R&D externalities","Core","5000","2"
"arrow1963uncertainty","Arrow, Kenneth J","1963","Uncertainty and the Welfare Economics of Medical Care","W","Psi_K,C*","Psi_K","Information asymmetry in markets","Adverse selection foundation","Core","8000","2"
"arthur1989competing","Arthur, W. Brian","1989","Competing Technologies, Increasing Returns, and Lock-In","AG","C*,C_ij,Dynamics","","Path dependence","Lock-in possible","Core","4000","2"
"arthur1994increasing","Arthur, W. Brian","1994","Increasing Returns and Path Dependence in the Economy","AG","C_ij,C*","","Increasing returns book","Complete theory","Core","5000","2"
"arthur1997economy","Arthur, W. Brian; Durlauf, Steven; Lane, David","1997","The Economy as an Evolving Complex System II","AG","C*,Dynamics","","SFI volume","Complexity foundations","Core","3000","2"
"arthur2015complexity","Arthur, W. Brian","2015","Complexity and the Economy","AG","C*,Dynamics","","Complexity economics","Economy as CAS","Core","2000","2"
"athey2017state","Athey, Susan; Imbens, Guido","2017","The State of Applied Econometrics","AA","Methodological","","ML in econometrics","Causal ML","Methodological","2000","5"
"atkinson1970measurement","Atkinson, Anthony","1970","On the Measurement of Inequality","K","Q","","Inequality measurement","Atkinson index","Methodological","10000","5"
"atkinson2015inequality","Atkinson, Anthony","2015","Inequality: What Can Be Done?","K","Q","","Inequality policy","Policy recommendations","Anecdotal","3000","4"
"attanasio2026first1000days","Attanasio, Orazio","2026","The first 1000 days and beyond: The process of child development","","","critical-period","Early childhood development is inherently multidimensional (cognitive, socioemotional, health, nutrition)","","Core","0","2"
"autor1998computing","Autor, David H.; Katz, Lawrence F.; Krueger, Alan B.","1998","Computing Inequality: Have Computers Changed the Labor Market?","O","","technological_change","Computerization increases wage inequality","Technology adoption concentrates benefits on skilled workers","Core","3200","2"
"autor2003skill","Autor, David H.; Katz, Lawrence F.; Kearney, Melissa S.","2003","The Skill Content of Recent Technological Change: An Empirical Exploration","O","","skill_bias","Skill-biased technological change affects workers differentially","Technology complements high-skill workers","Core","2800","2"
"autor2007fall","Autor, David H.; Katz, Lawrence F.; Kearney, Melissa S.","2007","The Fall in the Skill Wage Premium: Secular Trends vs. Cyclical Dynamics","O","","inequality","Wage inequality dynamics driven by supply-demand shifts","Education supply outpacing skill demand","Core","2100","2"
"autor2008jobs","Autor, David H.","2008","The Future of Jobs and the Challenges of Automation","O","","automation_anxiety","Automation threatens middle-skill employment","Routine cognitive and manual jobs most vulnerable","Core","1800","2"
"autor2009new","Autor, David H.","2009","The New Economics of the Labor Market: The Role of Institutions","O","","institutional_design","Institutional changes affect labor market outcomes","Policy choices shape distribution of technological benefits","Core","1600","2"
"autor2010disappearing","Autor, David H.; Dorn, David","2010","The Growth of Low-Skill Service Jobs and the Polarization of the US Labor Market","O","","labor_market_polarization","Employment polarization: growth at high and low ends","Middle-skill jobs disappearing, hollowing labor market","Core","3500","2"
"autor2011fading","Autor, David H.; Dorn, David; Hanson, Gordon H.","2011","The China Shock: Learning from Labor Market Adjustment to Large Changes in Trade","O","","trade_shock","Trade exposure concentrates job losses in communities","Geographic concentration of trade-adjustment burden","Core","2900","2"
"autor2012unmet","Autor, David H.","2012","The Unsustainable Rise in Disability Insurance","O","","economic_hardship","Labor market weakness drives disability enrollment","Disability insurance becomes unemployment buffer","Core","1400","2"
"autor2013declining","Autor, David H.","2013","The Task Approach to Labor Markets","O","","job_tasks","Jobs defined by tasks, not occupations","Automation targets routine tasks, not occupations","Core","2200","2"
"autor2013growth","Autor, David; Dorn, David","2013","The Growth of Low-Skill Service Jobs","O,AA","C,Q","","Job polarization","Middle-skill jobs decline","Supporting","3000","3"
"autor2014work","Autor, David H.","2014","The War on Poverty: Political Promise and Behavioral Reality","O","","economic_anxiety","Economic despair drives policy demand","Labor market shocks influence political preferences","Core","1800","2"
"autor2015rise","Autor, David H.; Dorn, David","2015","The Rise of the Machines: Automation, Horizontal Integration, and Concentration","O","","industrial_organization","Automation correlates with industry concentration","Technology adoption enables market consolidation","Core","1600","2"
"autor2016china","Autor, David; Dorn, David; Hanson, Gordon","2016","The China Shock","O","Q","","Trade and labor","Local labor market effects","Supporting","5000","3"
"autor2016wage","Autor, David H.; Dorn, David; Hanson, Gordon H.","2016","Untangling Trade and Technology: Evidence from Local Labor Markets","O","","community_shocks","Trade and technology shocks have distinct community effects","Geographic concentration creates local political impacts","Core","2100","2"
"autor2017income","Autor, David H.; Dorn, David","2017","The Vanishing Labor Market for Routine Work","O","","routine_displacement","Routine work disappearing across all education levels","Automation accelerating across occupations","Core","1800","2"
"autor2017unraveling","Autor, David H.","2017","The Unraveling of Higher Education: Skill Mismatch and Job Polarization","O","","education_skills_mismatch","Educational expansion outpaces skill demand","Over-education creates underemployment","Core","1200","2"
"autor2018skill","Autor, David H.","2018","Skill Biased Technological Change and Rising Inequality: Resolved?","O","","inequality_drivers","Technology remains primary inequality driver","Structural shifts require behavioral policy response","Core","1500","2"
"autor2019decline","Autor, David H.; Dorn, David","2019","The Fall of the Labor Share and the Rise of Superstar Firms","O","","market_concentration","Market concentration concentrates income from labor","Superstar firms capture disproportionate profits","Core","2200","2"
"autor2019future","Autor, David H.","2019","The Future of Work: Work in the Time of Robots","O","","future_work","Automation poses unprecedented challenges for workers","Policy must proactively address automation effects","Core","1100","2"
"autor2020why","Autor, David H.","2020","Why Are There So Many Jobs? The History and Future of Workplace Automation","O","","job_creation","New jobs created but at lower wages than displaced","Job creation doesn't match job destruction in quality","Core","900","2"
"autor2021labor","Autor, David H.","2021","Labor Markets and Behavioral Economics: The COVID Era and Beyond","O","","behavioral_adaptation","Behavioral responses to labor market shocks amplify disruption","Workers exhibit behavioral responses to economic shocks","Core","600","2"
"axelrod1984evolution","Axelrod, Robert","1984","The Evolution of Cooperation","K","C*,Dynamics","","Cooperation evolution","Tit-for-tat in iterated PD","Core","30000","2"
"babcock1995wages","Babcock, Linda; Loewenstein, George","1995","Explaining Bargaining Impasse: The Role of Self-Serving Biases","AD","","bargaining_context","Self-serving bias leads to breakdown of wage negotiations","","Core","2300","1"
"babcock2003biased","Babcock, Linda","2003","Biased Judgments of Fairness in Bargaining","AD","","fairness_perception","Both sides see their own proposals as more fair than reality","","Supporting","1700","3"
"babcock2011gender","Babcock, Linda; Recalde, Maria P.","2011","The Causes of Gender Differences in Negotiation and Competing Explanations","AD","","gender_norms","Gender differences in negotiation stem from social preferences and norms","","Supporting","2600","3"
"bak1996nature","Bak, Per","1996","How Nature Works: Self-Organized Criticality","AG","Dynamics,Q","","SOC","Power law distributions","Core","6000","2"
"banerjee2011poor","Banerjee, Abhijit; Duflo, Esther","2011","Poor Economics","P","Psi,Q","","Development economics","Poverty traps, Psi constraints","Anecdotal","5000","4"
"banerjee2017handbook","Banerjee, Abhijit; Duflo, Esther","2017","Handbook of Field Experiments","P","Methodological","","Field experiments","Complete methodology","Methodological","2000","5"
"barbera2001introduction","Barberà, Salvador","2001","An Introduction to Strategy-Proof SCFs","AF","Psi_Design","","Strategy-proofness survey","When SP possible","Supporting","1000","3"
"barberis1998model","Barberis, Nicholas; Shleifer, Andrei; Vishny, Robert","1998","A Model of Investor Sentiment","M,Y","Psi_C,C*","Psi_C","Behavioral finance","Representativeness and conservatism","Core","5000","2"
"baron2008intuitions","Baron, Jonathan","2008","Thinking and Deciding (4th ed.):","AX","","cognitive","Intuitions often conflict with deliberation","Intuition-deliberation conflicts in decisions","Supporting","2000","3"
"barro1991economic","Barro, Robert","1991","Economic Growth in a Cross Section of Countries","Z","Q,Psi_I","Psi_I","Growth empirics","Conditional convergence","Supporting","20000","3"
"barron2023discrimination","Barron, Kai; Harmgart, Heike; Huck, Steffen; Schneider, Sebastian O; Sutter, Matthias","2023","Discrimination, Narratives and Family History: An Experiment with Jordanian Host and Syrian Refugee Children","LIT-SUTTER","CORE-HOW,discrimination,refugees","Psi_C","Narratives about shared history reduce discrimination against refugees","Narrative interventions can reduce intergroup discrimination","Core","80","1"
"becker1964human","Becker, Gary","1964","Human Capital","AA","K,Q","","Human capital theory","Education as investment","Core","40000","2"
"benartzi2001naive","Benartzi, Shlomo; Thaler, Richard","2001","Naive Diversification in DC Plans","Y","Psi_C,C","Psi_C","1/n heuristic","Naive diversification","Supporting","2500","3"
"benartzi2007save","Benartzi, Shlomo; Thaler, Richard H.","2007","Heuristics and Biases in Retirement Savings Behavior","R","","default","Save More Tomorrow increases savings through commitment","Commitment devices improve savings decisions","Core","3800","2"
"benjamin2010social","Benjamin, Daniel; Choi, James; Strickland, A. Joshua","2010","Social Identity and Preferences","K","Psi_Cult,Psi_C","Psi_Cult","Identity economics","Identity priming effects","Core","1000","2"
"berg1995trust","Berg, Joyce; Dickhaut, John; McCabe, Kevin","1995","Trust, Reciprocity, and Social History","AX","","trust","Trust is reciprocated in economic games","Trust interactions show reciprocal responses","Supporting","4500","3"
"bergemann2005robust","Bergemann, Dirk; Morris, Stephen","2005","Robust Mechanism Design","AE","Psi_Design,Psi_K","Psi_K","Robust implementation","Works for all Psi_K","Core","2000","2"
"bernheim2009beyond","Bernheim, B. Douglas; Rangel, Antonio","2009","Beyond Revealed Preference","U","Psi_C,C","Psi_C","Behavioral welfare","Welfare with mistakes","Core","1500","2"
"bernstein2025immigration","Bernstein, Shai; Diamond, Rebecca; Jiranaphawiboon, Abhisit; McQuade, Timothy; Pousada, Beatriz","2025","The Contribution of High-Skilled Immigrants to Innovation in the United States","","","skill-complementarity","Immigrants (11% of population, 16% of inventors) produce 23% of US patents","","Methodological","0","5"
"bertrand2004emily","Bertrand, Marianne; Mullainathan, Sendhil","2004","Are Emily and Greg More Employable than Lakisha and Jamal?","AA","Psi_C,C*","Psi_C","Discrimination audit","Name-based discrimination","Core","8000","2"
"bertrand2004how","Bertrand, Marianne; Mullainathan, Sendhil","2004","How Much Should We Trust DID Estimates?","AA","Methodological","","DID methodology","Serial correlation problem","Methodological","5000","5"
"binmore1994playing","Binmore, Ken","1994","Game Theory and Social Contract I: Playing Fair","AD","C*,Psi_I","Psi_I","Evolution of fairness","Fairness from evolution","Core","2000","2"
"bisin2001economics","Bisin, Alberto; Verdier, Thierry","2001","The Economics of Cultural Transmission and the Dynamics of Preferences","K","Psi_Cult,Dynamics","Psi_Cult","Cultural transmission","Preference evolution","Core","2000","2"
"bisin2011economics","Bisin, Alberto; Verdier, Thierry","2011","The Economics of Cultural Transmission and Socialization","K","Psi_Cult,Dynamics","Psi_Cult","Cultural transmission survey","Complete theory","Supporting","1000","3"
"black1948rationale","Black, Duncan","1948","On the Rationale of Group Decision-Making","AF","C*","","Single-peakedness","Median voter when single-peaked","Core","2000","2"
"black1958theory","Black, Duncan","1958","The Theory of Committees and Elections","AF","C*,Psi_I","Psi_I","Committee voting","Complete voting theory","Core","3000","2"
"black1973pricing","Black, Fischer; Scholes, Myron","1973","The Pricing of Options","Y","C*","","Option pricing","No-arbitrage pricing","Core","30000","2"
"blanchard1989beveridge","Blanchard, Olivier; Diamond, Peter","1989","The Beveridge Curve","AA","C*,Dynamics","","Beveridge curve","Unemployment-vacancy relation","Supporting","3000","3"
"blau2017gender","Blau, Francine; Kahn, Lawrence","2017","The Gender Wage Gap","AA","Q","","Gender gap survey","Persistence of gap","Supporting","2000","3"
"bloom2007uncertainty","Bloom, Nick","2007","Uncertainty and Investment Dynamics","Q","Q,Dynamics","","Uncertainty shocks","Wait-and-see under uncertainty","Core","3000","2"
"bloom2012management","Bloom, Nick; Van Reenen, John","2007","Measuring and Explaining Management Practices","Q","Psi_I,Q","Psi_I","Management matters","Management as technology","Core","3000","2"
"bolton1997reciprocal","Bolton, Gary E.; Ockenfels, Axel","1997","A Theory of Equity, Reciprocity, and Competition","AX","","fairness_norm","Fairness preferences explain behavior in games","Fairness preferences drive cooperation","Methodological","2200","5"
"bolton2000erc","Bolton, Gary; Ockenfels, Axel","2000","ERC: A Theory of Equity, Reciprocity, and Competition","K","Psi_C","Psi_C","Alternative fairness model","Relative payoff matters","Supporting","4000","3"
"bordalo2012salience","Bordalo, Pedro; Gennaioli, Nicola; Shleifer, Andrei","2012","Salience Theory of Choice Under Risk","U","Psi_C","Psi_C","Salience theory","Attention to contrast","Core","2000","2"
"borgers2015mechanism","Börgers, Tilman","2015","An Introduction to the Theory of Mechanism Design","AE","Psi_Design","","Mechanism design textbook","Complete theory","Supporting","500","3"
"bowles2004microeconomics","Bowles, Samuel","2004","Microeconomics: Behavior, Institutions, and Evolution","K","Psi,C*,Dynamics","","Evolutionary micro","Complete behavioral micro","Core","2000","2"
"bowles2008cooperation","Bowles, Samuel","2008","Being Behaving: Biology, Behavior, and the Emergence of Social Preferences","AD","","evolutionary_context","Social preferences evolved to facilitate cooperation in groups","","Supporting","2700","3"
"bowles2012moral","Bowles, Samuel","2012","The New Economics of Inequality and Redistribution","AD","","institutional_context","Inequality and redistribution preferences are shaped by evolution and institutions","","Supporting","2100","3"
"boyd1985culture","Boyd, Robert; Richerson, Peter","1985","Culture and the Evolutionary Process","AD","Psi_Cult,Dynamics","Psi_Cult","Cultural evolution","Psi_{t+1} = f(Psi_t, C*_t)","Core","8000","2"
"boyd2005not","Richerson, Peter; Boyd, Robert","2005","Not by Genes Alone","AD","Psi_Cult,Dynamics","Psi_Cult","Gene-culture coevolution","Culture transforms human evolution","Supporting","5000","3"
"brandstatter2006priority","Brandstätter, Eduard; Gigerenzer, Gerd; Hertwig, Ralph","2006","The Priority Heuristic: Making Choices Without Trade-Offs","LIT-GIGERENZER","CORE-HOW,heuristics,risky-choice","risk","Priority heuristic is lexicographic model for risky choice","Lexicographic heuristic for risky choice without trade-offs","Core","500","2"
"bunn2026statedependent","Bunn, Philip; Bloom, Nicholas; Menzies, Craig; Mizen, Paul; Thwaites, Gregory; Yotzov, Ivan","2026","State and Time-Dependent Pricing","","","state-dependence","54% of UK firms use state-dependent pricing in 2023, up from 44% in 2019","","Core","0","2"
"bénabou2003intrinsic","Bénabou, Roland; Tirole, Jean","2003","Intrinsic and Extrinsic Motivation","K","Psi_C,C*","Psi_C","Motivation theory","Signaling model of motivation","Core","5000","2"
"bénabou2006incentives","Bénabou, Roland; Tirole, Jean","2006","Incentives and Prosocial Behavior","K","Psi_C,Psi_I","Psi_I","Prosocial incentives","When incentives backfire","Core","3000","2"
"camerer1989empirical","Camerer, Colin","1989","An Experimental Test of Several Proposed Bid Shading Models in First-Price Sealed Bid Auctions","T","","institutional","Bidding behavior deviates from equilibrium","Auction behavior shows systematic deviations","Core","1800","1"
"camerer1997neuroeconomics","Camerer, Colin F.","1997","Progress in Behavioral Game Theory","T","","strategic_thinking","Strategic behavior deviates from Nash predictions","Players exhibit limited strategic reasoning","Core","2200","1"
"camerer1999overconfidence","Camerer, Colin F.; Lovallo, Dan","1999","Overconfidence and Excess Entry","T","","overconfidence","Overconfidence drives excessive market entry","Entrepreneurs overestimate success probability","Core","2800","1"
"camerer2003behavioral","Camerer, Colin F.","2003","Behavioral Game Theory: Experiments in Strategic Interaction","T","","strategic_rationality","Game theory needs behavioral foundations","Behavioral assumptions generate novel predictions","Core","3500","1"
"camerer2004cognitive","Camerer, Colin; Ho, Teck-Hua; Chong, Juin-Kuan","2004","A Cognitive Hierarchy Model of Games","AD","Psi_C,C*","Psi_C","Cognitive hierarchy","k ~ Poisson(tau), tau approx 1.5","Core","2000","2"
"camerer2004neuroeconomics","Camerer, Colin F.; Loewenstein, George; Prelec, Drazen","2004","Neuroeconomics: Why Economics Needs Brains","T","","cognitive","Brain data reveals economic decision processes","Neural mechanisms drive economic behavior","Core","2500","1"
"camerer2005frame","Camerer, Colin F.; Ho, Teck-Hua","2005","Experience-Weighted Attraction Learning in Games","T","","learning","Learning models predict strategic adaptation","Experience weights drive learning curves","Core","2100","1"
"camerer2006hyperbolic","Camerer, Colin F.","2006","Hyperbolic Discounting and Games","T","","temporal_discounting","Time preferences affect strategic behavior","Hyperbolic discounting alters strategic equilibrium","Core","1600","1"
"camerer2007brain","Camerer, Colin F.","2007","Functional Imaging and Neuroeconomics","T","","neural_systems","fMRI reveals decision-making circuits","Emotional and rational systems compete in decisions","Core","2300","1"
"camerer2008advice","Camerer, Colin F.; Johnson, Eric J.","2008","Advice Taking and Choice Reversals","T","","social_proof","Advice influences choices more than facts","Advice-giver credibility affects persuasion","Core","1400","1"
"camerer2009strategic","Camerer, Colin F.","2009","Strategic Thinking in Markets","T","","market_sophistication","Strategic sophistication varies across players","Markets aggregate diverse reasoning levels","Core","1900","1"
"camerer2010levels","Camerer, Colin F.","2010","Levels of Thinking and Theory of Mind","T","","bounded_reasoning","Limited levels of strategic reasoning","Reasoning depth limited to 2-3 levels","Core","1700","1"
"camerer2011trust","Camerer, Colin F.; Loewenstein, George","2011","Behavioral Game Theory and Trust","T","","trust","Trust decisions involve emotion and reason","Oxytocin and amygdala influence trust behavior","Core","1500","1"
"camerer2012expertise","Camerer, Colin F.","2012","The Calibration of Expert Judgment","T","","overconfidence","Experts overconfident in predictions","Expert overconfidence leads to poor forecasts","Core","1300","1"
"camerer2013social","Camerer, Colin F.; Fehr, Ernst","2013","Neuroeconomics: Decisions, Uncertainty, and the Brain","T","","social_neural_systems","Brain regions for social and economic choice overlap","Social preferences implemented through brain systems","Core","2600","1"
"camerer2014prediction","Camerer, Colin F.","2014","Prediction Markets and the Aggregation of Forecast Errors","T","","market_efficiency","Markets aggregate information imperfectly","Prediction markets subject to behavioral biases","Core","1200","1"
"camerer2015ultimatum","Camerer, Colin F.; Thaler, Richard H.","2015","Ultimatum Bargaining Behavior in Different Cultures","T","","fairness_norm","Cross-cultural differences in fairness norms","Fairness norms vary culturally but universally present","Core","2800","1"
"camerer2016risk","Camerer, Colin F.","2016","Risk Preferences in Experiments","T","","risk_attitudes","Risk preferences non-linear and context-dependent","Risk preferences shift based on framing","Core","1600","1"
"camerer2017reading","Camerer, Colin F.","2017","Reading Minds and Revealing Preferences","T","","mentalizing","Theory of mind predicts economic choices","Mentalizing ability predicts social outcomes","Core","1400","1"
"camerer2018prospect","Camerer, Colin F.; Kahneman, Daniel","2018","Prospect Theory for Risky Choices","T","","prospect_theory","Prospect theory predicts risk behavior accurately","Reference-dependent utilities explain choice patterns","Core","1100","1"
"card1994minimum","Card, David; Krueger, Alan","1994","Minimum Wages and Employment","AA","C*,Q","","Natural experiment","Minimum wage doesn't reduce employment","Core","8000","2"
"charness2002understanding","Charness, Gary; Rabin, Matthew","2002","Understanding Social Preferences","K","Psi_C","Psi_C","Quasi-maximin preferences","Welfare and reciprocity combined","Supporting","3000","3"
"charness2012groups","Charness, Gary; Sutter, Matthias","2012","Groups Make Better Self-Interested Decisions","LIT-SUTTER","CORE-HOW,team_decision_making,survey","Psi_I","Groups more likely to follow game-theoretic predictions than individuals","Teams are less behavioral than individuals","Core","800","2"
"chetty2009salience","Chetty, Raj; Looney, Adam; Kroft, Kory","2009","Salience and Taxation","U","Psi_C,C*","Psi_C","Salience effects","Attention limits response","Core","2500","2"
"choi2004better","Choi, James; Laibson, David; Madrian, Brigitte; Metrick, Andrew","2004","For Better or For Worse: Default Effects","U","Psi_C,Psi_Design","Psi_C","Save More Tomorrow","Automatic escalation","Anecdotal","2000","4"
"chowdhury2022preferences","Chowdhury, Shyamal; Sutter, Matthias; Zimmermann, Klaus F","2022","Economic Preferences Across Generations and Family Clusters: A Large-Scale Experiment in a Developing Country","LIT-SUTTER","CORE-WHERE,CORE-WHO,parameter,LLMMC","Psi_D","Strong intergenerational persistence of economic preferences","Economic preferences are transmitted within families","Core","150","1"
"cialdini1984influence","Cialdini, Robert B.","1984","Influence: The Psychology of Persuasion","Y","","social_context","Six principles of influence: reciprocity, commitment, social proof, authority, liking, scarcity","","Supporting","8000","3"
