#
# APPENDIX AA: LABOR ECONOMICS
# APPENDIX AB: MATCHING AND REPUGNANT MARKETS
# APPENDIX AC: INDUSTRIAL ORGANIZATION
# APPENDIX AD: EVOLUTIONARY AND BEHAVIORAL GAME THEORY
# APPENDIX AE: MECHANISM DESIGN
# APPENDIX AF: SOCIAL CHOICE THEORY
# APPENDIX AG: COMPLEXITY ECONOMICS
# APPENDIX AH: TEMPORAL CONTEXT (Ψ_T)
# APPENDIX U: KAHNEMAN & TVERSKY - PSYCHOLOGICAL MICROFOUNDATIONS
# APPENDIX W: AKERLOF, SPENCE & STIGLITZ - INFORMATION ECONOMICS
# APPENDIX X: MILGROM & ROBERTS - COMPLEMENTARITIES & ORGANIZATION
# APPENDIX Y: CAPITAL MARKETS - FINANCIAL ECONOMICS
# APPENDIX Z: GROWTH THEORY - LONG-RUN DYNAMICS
# Additional: Dynamics (how C→C*), Aggregation (micro→macro), Design (Ψ* optimization)
# EXISTING APPENDICES A-T, V - CORE FRAMEWORK REFERENCES
# Elements: C (Configuration), Ψ (Context), C* (Equilibrium), K (Knowledge), Q (Outcome), C_ij (Complementarity)
# Framework Mapping: Paper Contributions to (C, Ψ, C*, K, Q) Framework
# Generated: 2026-01-04
# MAIN CHAPTERS 00-15 - FRAMEWORK CORE REFERENCES
# Relevance: Core, Supporting, Application, Method
# Total Papers: ~380
# Ψ-Dimensions: Ψ_C (Cognitive), Ψ_I (Institutional), Ψ_S (Social), Ψ_T (Temporal), Ψ_P (Physical), Ψ_K (Informational), Ψ_E (Economic), Ψ_Cult (Cultural)
#--- APPENDIX A: FORMAL DERIVATIONS ---
#--- APPENDIX B: EMPIRICAL VALIDATION ---
#--- APPENDIX C: ALTERNATIVE EQUILIBRIUM CONCEPTS ---
#--- APPENDIX D: MEASUREMENT AND ESTIMATION ---
#--- APPENDIX E: NETWORK EFFECTS ---
#--- APPENDIX F: BOUNDED RATIONALITY EXTENSIONS ---
#--- APPENDIX G: FEPSDE DIMENSIONS ---
#--- APPENDIX H: COMPUTATIONAL HISTORY ---
#--- APPENDIX I: NOBEL CONTRIBUTIONS ---
#--- APPENDIX K: FEHR PAPERS ---
#--- APPENDIX L: ACEMOGLU PAPERS ---
#--- APPENDIX M: SHLEIFER PAPERS ---
#--- APPENDIX N: HECKMAN PAPERS ---
#--- APPENDIX O: AUTOR PAPERS ---
#--- APPENDIX P: DUFLO PAPERS ---
#--- APPENDIX Q: BLOOM PAPERS ---
#--- APPENDIX V: PSI DIMENSIONS ---
#--- CHAPTER 00: INTRODUCTION ---
#--- CHAPTER 01: MOTIVATING OBSERVATIONS ---
#--- CHAPTER 02: STANDARD FRAMEWORK ---
#--- CHAPTER 03: PREFERENCE STABILITY ---
#--- CHAPTER 04: SOCIAL PREFERENCES ---
#--- CHAPTER 05: COMPLEMENTARITIES ---
#--- CHAPTER 06: EVOLUTIONARY FOUNDATIONS ---
#--- CHAPTER 09: ENDOGENOUS CONTEXT ---
#--- CHAPTER 10: WELFARE ---
#--- CHAPTER 12: INTEGRATION ---
#==============================================================================
Beauty Contest Experiments,1995,Nagel,AD,Ψ,Ψ_C,Level-k thinking evidence,Bounded strategic depth,Core
Behavioral Contract Theory,2006,Köszegi,W,Ψ,Ψ_C,Reference-dependent preferences in contracts,Behavioral principal-agent,Supporting
Behavioral Economics,2017,Thaler,I,Ψ,Ψ_C,Nobel lecture behavioral,Nudge choice architecture,Core
Behavioral Finance,2003,Barberis & Thaler,Y,Ψ,Ψ_C,Survey behavioral finance,Comprehensive anomalies,Supporting
Behavioral Game Theory,2003,Camerer,AD,Ψ,Ψ_C,Comprehensive behavioral GT,Deviations from Nash,Core
Behavioral Macro,2013,Shiller,I,Ψ,Ψ_C,Nobel lecture bubbles,Irrational exuberance,Core
Beyond GDP,2009,Stiglitz et al,G,Q,-,Measurement welfare,Dashboard approach,Core
Black Swan,2007,Taleb,AG,Q,-,Fat tails extreme events,Expect unexpected,Core
Bounded Rationality,1982,Simon,F,Ψ,Ψ_C,Procedural rationality,Limited computation,Core
Bowling Alone,2000,Putnam,Ch10,Q,Ψ_S,Social capital,Community decline,Core
Bowling Alone,2000,Putnam,G,Q,Ψ_S,Social capital decline,Community erosion,Core
CAPM,1964,Sharpe,Y,C*,Ψ_E,Capital asset pricing equilibrium,E[r] = rf + β(rm - rf),Core
Capabilities Measurement,2010,Alkire,G,Q,-,Capability measurement,Multidimensional poverty,Method
Capability Approach,2011,Nussbaum,AF,Q,-,Capabilities elaborated,Central capabilities,Supporting
Capital 21st Century,2014,Piketty,Ch01,Q,Ψ_E,Inequality dynamics,r > g,Core
Capitalism and Growth,2006,Aghion & Howitt,Z,Dynamics,Ψ_I,Comprehensive growth theory,Schumpeterian synthesis,Core
Cardinal Welfare,1955,Harsanyi,AF,Q,-,Utilitarianism derived,Impartiality → sum,Core
Causal Effects,1994,Angrist & Imbens,AA,Method,-,LATE local average treatment,IV interpretation,Core
China Shock,2013,Autor et al,O,C*,Ψ_E,Trade and labor,Import competition,Core
Choice Procrastination,2001,O'Donoghue & Rabin,AH,Ψ,Ψ_T,Partial naivete,β̂ ∈ (β 1),Core
Choices Values Frames,2000,Kahneman & Tversky,U,Ψ,Ψ_C,Comprehensive collection of behavioral findings,Mental accounting editing,Core
Cognitive Hierarchy Model,2004,Camerer et al,AD,Ψ,Ψ_C,Poisson distribution of levels,τ ≈ 1.5,Core
Collective Choice Social Welfare,1970,Sen,AF,Q,-,Comprehensive social choice,Welfare foundations,Core
College Admissions,1962,Gale & Shapley,AB,C*,-,Deferred acceptance algorithm,Stable matching existence,Core
Colonial Origins,2001,Acemoglu et al,Z,Ψ,Ψ_I,Settler mortality and institutions,IV for institutions,Core
Commitment Devices,2010,Bryan et al,AH,Design,Ψ_T,Commitment survey,Design principles,Supporting
Committees and Elections,1958,Black,AF,C*,-,Comprehensive voting theory,Voting systems,Core
Comparing Equilibria,1990,Milgrom & Roberts,X,C*,-,Supermodular games monotone comparative statics,∂²π/∂a∂a' ≥ 0 → lattice structure,Core
Competing Technologies,1989,Arthur,AG,C*,C_ij,Path dependence lock-in,Increasing returns,Core
Competition in Telecom,1999,Laffont & Tirole,AC,Design,Ψ_I,Telecom regulation theory,Access pricing regulation,Application
Competitive Strategy,1980,Porter,AC,C,-,Strategy framework,Five forces,Application
Complementarities Fit Strategy,1995,Milgrom & Roberts,X,C_ij,-,Strategic fit across activities,System of complements,Core
Complexity and Economy,2015,Arthur,AG,Dynamics,-,Comprehensive complexity,Economy as CAS,Core
Condorcet Paradox,1785,Condorcet,AF,C*,-,Majority cycles,Intransitive majority,Core
Contestable Markets,1982,Baumol et al,AC,C*,-,Contestability theory,Hit and run entry,Core
Context Effects,2012,Bertrand et al,V,Ψ,-,Survey methodology,Context in surveys,Method
Contract Theory,2016,Hart & Holmström,I,Design,Ψ_K,Nobel lecture contracts,Incomplete contracts,Core
Contracts as Reference,2011,Fehr et al,K,Ψ,Ψ_S,Reference-dependent contracts,Expectations as reference,Core
Contribution Growth Theory,1956,Solow,Z,Dynamics,-,Neoclassical growth model,Δk = sf(k) - δk,Core
Convex Time Budgets,2012,Andreoni & Sprenger,AH,Method,Ψ_T,Measurement methodology,β ≈ 1 challenge,Method
Cooperative Species,2011,Bowles & Gintis,Ch06,Ψ,Ψ_S,Human cooperation evolution,Parochial altruism,Core
Corporate Governance,1997,Shleifer & Vishny,Y,K,Ψ_I,Corporate governance survey,Control and incentives,Supporting
Correlated Equilibrium,1974,Aumann,C,C*,-,Correlation device,Broader than Nash,Core
Corruption,1993,Shleifer & Vishny,M,Ψ,Ψ_I,Corruption economics,Industrial organization of corruption,Core
Counterspeculation Auctions,1961,Vickrey,AE,Design,-,Second-price auction truth,Dominant strategy truth,Core
Credibility Revolution,2010,Angrist & Pischke,AA,Method,-,Modern empirical methods,Design-based inference,Method
Credit Rationing,1981,Stiglitz & Weiss,W,K,Ψ_K,Adverse selection in credit markets,Interest rate cannot clear market,Core
Cross-Cultural Experiments,2001,Henrich et al,B,Ψ,Ψ_Cult,15 small-scale societies,Culture shapes fairness,Core
Cross-Cultural Ultimatum,2001,Henrich et al,Ch04,Ψ,Ψ_Cult,Culture shapes fairness,Market integration effect,Core
Cultural Dimensions,1980,Hofstede,V,Ψ,Ψ_Cult,National culture dimensions,Power distance uncertainty,Core
Culture Evolutionary Process,1985,Boyd & Richerson,AD,Ψ,Ψ_Cult,Cultural evolution,Gene-culture coevolution,Core
Culture Evolutionary,1985,Boyd & Richerson,Ch06,Ψ,Ψ_Cult,Gene-culture coevolution,Cultural transmission,Core
Culture and Economics,2006,Guiso et al,V,Ψ,Ψ_Cult,Culture in economics,Cultural economics,Core
Cursed Equilibrium,2005,Eyster & Rabin,AD,K,Ψ_K,Underinference from actions,Cursedness parameter,Core
De Gustibus,1977,Stigler & Becker,Ch03,Ψ,-,Stable preferences,Preferences don't change,Core
Debreu SMD,1974,Debreu,A,C*,-,SMD theorem completion,Uniqueness fails generically,Core
Deferred Acceptance Algorithm,2012,Roth,AB,C*,-,DA algorithm explained,Algorithm properties,Core
Development as Freedom,1999,Sen,AF,Q,-,Capability approach,Functionings freedoms,Core
Dictator Game,1986,Kahneman et al,B,Ψ,Ψ_S,Giving without strategic motive,Pure altruism/fairness,Core
Difference in Differences,2022,Roth et al,D,Method,-,Modern DiD,Staggered treatment,Method
Differential Topology GE,1985,Mas-Colell,A,C*,-,Mathematical GE theory,Smooth economies,Core
Digital Platforms,2019,Crémer et al,AC,C*,C_ij,Digital platform regulation,EU digital markets,Application
Discounted Utility,1937,Samuelson,AH,Ψ,Ψ_T,Exponential discounting model,U = Σδᵗu(cₜ),Core
Doing It Now or Later,1999,O'Donoghue & Rabin,AH,Ψ,Ψ_T,Sophistication vs naivete,β̂ = β vs β̂ = 1,Core
Dynamic Models Segregation,1971,Schelling,AG,Aggregation,-,Emergence from micro,Mild preferences → segregation,Core
ERC Model,2000,Bolton & Ockenfels,Ch04,Ψ,Ψ_S,Equity reciprocity competition,Relative payoff,Core
Econometric Causality,2008,Heckman,N,Method,-,Causality framework,Structural vs reduced,Method
Economic Growth Barro-Sala,2004,Barro & Sala-i-Martin,Z,Dynamics,-,Growth textbook,Comprehensive growth theory,Core
Economic Origins Dictatorship,2006,Acemoglu & Robinson,L,Ψ,Ψ_I,Democratization theory,Political transitions,Core
Economic Theory Self-Control,1981,Thaler & Shefrin,AH,Ψ,Ψ_T,Planner-doer model,Internal agency problem,Core
Economics Modern Manufacturing,1990,Milgrom & Roberts,X,C_ij,-,Modern manufacturing complementarities,JIT TQM flexible as complements,Core
Economics Organization Management,1992,Milgrom & Roberts,X,C_ij,Ψ_I,Textbook organizational economics,Comprehensive org theory,Core
Economics of Human Development,2007,Heckman,N,Q,-,Invest in early childhood,Returns to early intervention,Core
Economics of Information,2001,Stiglitz,W,K,Ψ_K,Nobel lecture information paradigm,Comprehensive info economics,Core
Economics of Organization,1999,Roberts,X,C_ij,Ψ_I,Organization design principles,Coherent organizational design,Application
Economy Evolving Complex,1997,Arthur et al,AG,Dynamics,-,Santa Fe volume II,Complexity synthesis,Core
Economy Needs ABM,2009,Farmer & Foley,AG,Dynamics,-,Post-crisis call for ABM,DSGE inadequate,Supporting
Education and Skills OECD,2015,Hanushek & Woessmann,Ch00,Q,-,Education quality matters,Skills not years,Application
Efficiency Wages,1984,Shapiro & Stiglitz,W,C*,Ψ_E,Unemployment as discipline device,Involuntary unemployment equilibrium,Core
Efficient Bilateral Trading,1983,Myerson & Satterthwaite,AE,Design,Ψ_K,Efficient trade impossible,Bilateral trade limits,Core
Efficient Markets,1970,Fama,Y,C*,Ψ_K,EMH prices reflect all information,P = E[V|K],Core
Employer Learning,2006,Altonji & Pierret,AA,K,Ψ_K,Statistical discrimination learning,Employers learn over time,Core
Endogenous Technological Change,1990,Romer,Z,Dynamics,C_ij,R&D-based growth,Ideas production function,Core
Entry Limit Pricing,1958,Bain,AC,C*,-,Barriers to entry,Limit pricing,Core
Epsilon Equilibrium,1996,Radner,C,C*,Ψ_C,Approximate best response,Bounded rationality equilibrium,Core
Equilibrium Majority Rule,1967,Plott,AF,C*,-,Multidimensional voting,Rare equilibrium,Core
Evolution Cooperation,1984,Axelrod,Ch04,C*,Ψ_S,Tit-for-tat,Repeated games cooperation,Core
Evolution Theory of Games,1982,Maynard Smith,AD,C*,-,Comprehensive ESS theory,Complete evolutionary GT,Core
Evolution of Conventions,1993,Young,AD,C*,Ψ_I,Conventions as equilibria,Institutional emergence,Core
Evolutionary Game Theory,1995,Weibull,AD,C*,-,Mathematical treatment,Replicator dynamics,Core
Evolutionary Games Equilibrium,1997,Samuelson,AD,C*,-,Equilibrium selection evolution,Selection theory,Core
Evolutionary Games Population,1998,Hofbauer & Sigmund,AD,Dynamics,-,Population dynamics,Mathematical evolution,Core
Excess Demand Anything,1972,Sonnenschein,A,C*,-,SMD theorem aggregate demand,Micro doesn't determine macro,Core
Exclusionary Contracts,1998,Rasmusen et al,AC,C*,-,Naked exclusion,Exclusionary equilibria,Core
Experienced Utility,1997,Kahneman,U,Q,-,Distinction experienced vs decision utility,Q_experienced ≠ Q_decision,Core
Experimental Development,2007,Banerjee & Duflo,P,Method,-,RCTs in development,Randomized evaluation,Method
Experimental Economics Handbook,2008,Plott & Smith,B,Method,-,Comprehensive experimental,Experimental methods,Method
Fairness Competition Coop,1999,Fehr & Schmidt,Ch04,Ψ,Ψ_S,Inequity aversion,α β model,Core
Fast and Frugal,1999,Gigerenzer & Todd,F,Ψ,Ψ_C,Simple heuristics work,Ecological rationality,Core
Field Experiments,2017,Banerjee et al,P,Method,-,Handbook field experiments,Comprehensive methods,Method
Financial Crises,2009,Brunnermeier,Y,Dynamics,Ψ_E,Crisis dynamics mechanisms,Amplification mechanisms,Supporting
Firm as Incentive System,1994,Holmström & Milgrom,W,C_ij,Ψ_I,Complementary HR practices,Coherent incentive systems,Core
Foundations of Incomplete Contracts,1999,Hart & Moore,W,C_ij,Ψ_I,Renegotiation and hold-up,Non-contractible investments,Core
Framing of Decisions,1981,Tversky & Kahneman,U,Ψ,Ψ_C,Choice depends on frame not just outcomes,Same lottery different frame → different C,Core
GLOBE Study,2004,House et al,V,Ψ,Ψ_Cult,Leadership culture,9 cultural dimensions,Core
GPT Language Models,2020,Brown et al,H,Method,-,Large language models,Few-shot learning,Method
Game Theory Evolving,2000,Gintis,AD,Dynamics,-,Unified evolutionary behavioral,Comprehensive synthesis,Core
Game-Theoretic Trading,1987,Wilson,AE,Design,-,Wilson doctrine,Robust mechanism design,Core
Gamma Discounting,2001,Weitzman,AH,Ψ,Ψ_T,Uncertainty declining rates,Long-run lower rates,Core
General Equilibrium Existence,1954,Arrow & Debreu,A,C*,-,Existence of competitive equilibrium,C* exists under convexity,Core
General Theory,1936,Keynes,Ch01,C*,Ψ_C,Aggregate demand failures,Animal spirits,Core
Generative Social Science,2006,Epstein,AG,Method,-,Generative explanation,ABM methodology,Core
Geography Growth,2001,Gallup et al,Z,Ψ,Ψ_P,Physical geography effects,Tropics coast malaria,Supporting
Gift Exchange Labor,1993,Fehr et al,K,C*,Ψ_S,Efficiency wage evidence,Fairness in labor,Core
Global Economic Preferences,2018,Falk et al,AH,Ψ,Ψ_T,Patience 76 countries,Cross-country variation,Core
Golden Eggs,1997,Laibson,AH,Ψ,Ψ_T,Beta-delta model,U = u₀ + βΣδᵗuₜ,Core
Good Economics Hard Times,2019,Banerjee & Duflo,P,Q,-,Economics for society,Policy applications,Application
Governing Commons,1990,Ostrom,Ch04,C*,Ψ_I,Common pool resources,Design principles,Core
Group Decision-Making,1948,Black,AF,C*,-,Single-peakedness,Median voter existence,Core
Growing Artificial Societies,1996,Epstein & Axtell,AG,Dynamics,-,Sugarscape ABM,Grow to explain,Core
Growth Theory Schumpeterian,1992,Aghion & Howitt,Z,Dynamics,-,Creative destruction growth,Quality ladders,Core
Growth of Low-Skill Service,2013,Autor & Dorn,AA,Dynamics,-,Polarization of employment,Middle-skill decline,Supporting
Guns Germs Steel,1997,Diamond,Z,Ψ,Ψ_P,Geographic determinism,Environment determines development,Supporting
Happiness Economics,2008,Frey,G,Q,-,Economics of happiness,Procedural utility,Core
Happiness Research,1999,Diener,Ch10,Q,-,Subjective well-being,Happiness measurement,Core
Heckscher-Ohlin,1933,Ohlin,Ch12,C*,Ψ_P,Factor proportions trade,Trade and endowments,Core
Heterogeneous Agent Models,2006,Hommes,AG,Ψ,Ψ_C,Heterogeneous expectations,Endogenous dynamics,Core
Heuristics That Make Us Smart,1999,Gigerenzer et al,F,Ψ,Ψ_C,Adaptive toolbox,Heuristics rational,Core
Hidden Order,1995,Holland,AG,Dynamics,-,Complex adaptive systems,Emergence adaptation,Core
History Lessons Growth,2000,Easterly,Z,Dynamics,Ψ_I,Growth and institutions,Why growth eludes,Supporting
House Allocation,1974,Shapley & Scarf,AB,C*,-,Top trading cycles,Core trading mechanism,Core
How Nature Works,1996,Bak,AG,Dynamics,-,Self-organized criticality,Power laws,Core
Human Capital,1964,Becker,AA,C,-,Investment in human capital,Schooling as investment,Core
IO Handbook,1989,Schmalensee & Willig,AC,C*,-,Handbook industrial organization,Comprehensive reference,Supporting
Ideas Production,2010,Jones,Z,Dynamics,-,Ideas getting harder to find,Research productivity declining,Supporting
Identity Economics,2000,Akerlof & Kranton,W,Ψ,Ψ_Cult,Identity in utility function,U = U(a|identity),Core
Imperfect Competition Labor,2022,Card,AA,C*,-,Nobel lecture market power,Labor market imperfections,Core
Implementation Theory,2002,Maskin & Sjöström,AE,Design,-,Implementation survey,Comprehensive treatment,Core
Impossibility Paretian Liberal,1970,Sen,AF,Aggregation,Ψ_I,Liberal paradox,Rights vs Pareto,Core
Incentive Compatibility Bargaining,1979,Myerson,AE,Design,-,Revelation Principle,Truth-telling sufficient,Core
Incentives Mechanism Matching,1982,Roth,AB,Design,-,Strategy-proofness in matching,Impossibilities,Core
Incentives in Teams,1973,Groves,AE,Design,-,Groves mechanism,VCG class,Core
Incomplete Contracts,1986,Grossman & Hart,W,C_ij,Ψ_I,Residual control rights,Integration vs separation,Core
Increasing Returns Long-Run,1986,Romer,Z,Dynamics,C_ij,Endogenous growth increasing returns,Knowledge spillovers,Core
Increasing Returns Path,1994,Arthur,AG,Dynamics,C_ij,Path dependence comprehensive,History matters,Core
Increasing Returns,1994,Arthur,Ch09,C*,C_ij,Path dependence,History matters,Core
Inefficient Markets,2000,Shleifer,M,C*,Ψ_C,Behavioral finance book,Limits arbitrage comprehensive,Core
Inefficient Markets,2000,Shleifer,Y,C*,Ψ_C,Behavioral approach book,Limits of arbitrage,Core
Information Asymmetry,2001,Akerlof et al,I,K,Ψ_K,Nobel lecture information,Markets with asymmetric info,Core
Information Organization,2014,Belleflamme & Peitz,AC,C*,Ψ_K,IO with information,Modern IO,Supporting
Information Rules,1999,Shapiro & Varian,E,C_ij,Ψ_K,Network economics strategy,Lock-in switching,Application
Information and Economic Analysis,2000,Stiglitz,W,K,Ψ_K,Information paradigm comprehensive,K asymmetry pervasive,Core
Informationally Decentralized,1972,Hurwicz,AE,Design,-,Decentralized mechanisms,Markets as mechanisms,Core
Innovation Competition,1987,Reinganum,AC,Dynamics,-,Patent races R&D,Innovation incentives,Supporting
Institutions Institutional,1990,North,Ch09,Ψ,Ψ_I,Institutions matter,Transaction costs,Core
Institutions Long-Run,2005,Acemoglu et al,L,Ψ,Ψ_I,Persistence institutions,Colonial origins long-run,Core
Institutions Rule,2004,Rodrik et al,Z,Ψ,Ψ_I,Institutions trump geography trade,Primacy of institutions,Core
Instrumental Variables,1994,Angrist & Imbens,D,Method,-,LATE interpretation,Local average treatment,Method
Intransitivities Voting,1976,McKelvey,AF,C*,-,Chaos theorem,Agenda determines outcome,Core
Investor Sentiment,1998,Shleifer,M,Ψ,Ψ_C,Noise traders,Behavioral finance,Core
Irrational Exuberance,2000,Shiller,Y,Ψ,Ψ_C,Bubbles and market psychology,Excess volatility behavioral,Core
Job Market Signaling Extensions,2002,Spence,W,K,Ψ_K,Nobel lecture and extensions,Signaling equilibrium refinements,Core
Judgment Aggregation Theory,2012,List,AF,Aggregation,-,JA survey,Comprehensive treatment,Supporting
Judgment under Uncertainty,1974,Tversky & Kahneman,U,Ψ,Ψ_C,Heuristics and biases,Representativeness availability anchoring,Core
Kidney Exchange,2004,Roth et al,AB,Design,-,Paired kidney exchange,Cycle trading,Core
Lab Field Experiments,2004,Harrison & List,B,Method,-,External validity experiments,Lab vs field,Method
Labor Economics,1986,Cahuc et al,AA,C*,-,Labor economics textbook,Comprehensive treatment,Supporting
Labor Market Monopsony,2022,Acemoglu,L,C*,-,Monopsony power,Wage setting,Core
Law and Finance,1998,La Porta et al,M,Ψ,Ψ_I,Legal origins,Investor protection,Core
Learning Experimentation,1991,Aghion et al,X,Dynamics,-,Learning and strategic experimentation,Bandit problems,Supporting
Learning Mutation Equilibria,1993,Kandori et al,AD,C*,-,Stochastic stability,Risk-dominant selection,Core
Leverage Cycles,2010,Geanakoplos,Y,Dynamics,Ψ_E,Endogenous leverage cycles,Collateral and cycles,Core
Life Cycle Skill Formation,2007,Cunha et al,N,Dynamics,-,Dynamic complementarities,Skills beget skills,Core
Limit Pricing Entry Deterrence,1982,Milgrom & Roberts,X,K,Ψ_K,Signaling in limit pricing,Price as signal of cost,Application
Limits of Arbitrage,1997,Shleifer & Vishny,M,C*,Ψ_E,Why mispricing persists,Arbitrage capital,Core
Limits of Arbitrage,1997,Shleifer & Vishny,Y,C*,Ψ_E,Why mispricing persists,Arbitrage capital constrained,Core
Logic of Animal Conflict,1973,Maynard Smith & Price,AD,C*,-,Evolutionarily stable strategy ESS,C* stable to invasion,Core
