key,strategy,journal_found,journal_superkey,era,pattern,lookup_source,predictability_rate,reason,journal,year,volume,issue,pages
shleifer1997limits,LOOKUP,True,JRN-1111-JF,JSTOR Legacy,,JSTOR,0.75,NUMERIC pattern in JSTOR Legacy era - not predictable,Journal of Finance,1997,52,1,35--55
baker2006investor,PATTERN,True,JRN-1111-JF,Wiley,10.1111/j.1540-6261.{year}.{suffix}.x,,0.75,Predictable pattern for Wiley era,Journal of Finance,2006,61,4,1645--1680
jensen1976agency,PATTERN,True,JRN-1016-JFE,Elsevier,10.1016/j.jfineco.{year}.{month}.{article},,0.8,Predictable pattern for Elsevier era,Journal of Financial Economics,1976,3,4,305--360
myers1984pecking,PATTERN,True,JRN-1016-JFE,Elsevier,10.1016/j.jfineco.{year}.{month}.{article},,0.8,Predictable pattern for Elsevier era,Journal of Financial Economics,1984,13,2,187--221
diamond1983bank,LOOKUP,True,JRN-1086-JPE,Chicago,,Chicago/CrossRef,0.0,NUMERIC pattern in Chicago era - not predictable,Journal of Political Economy,1983,91,3,401--419
black1973pricing,LOOKUP,True,JRN-1086-JPE,Chicago,,Chicago/CrossRef,0.0,NUMERIC pattern in Chicago era - not predictable,Journal of Political Economy,1973,81,3,637--654
jones1995rnd,LOOKUP,True,JRN-1086-JPE,Chicago,,Chicago/CrossRef,0.0,NUMERIC pattern in Chicago era - not predictable,Journal of Political Economy,1995,103,4,759--784
aghion1992creative,LOOKUP,True,JRN-3982-ECTA,JSTOR Legacy,,JSTOR,0.05,NUMERIC pattern in JSTOR Legacy era - not predictable,Econometrica,1992,60,2,323--351
aghion2009economics,SKIP,False,,,,,0.0,Entry type 'book' - not a journal article,,2009,,,
PAP-acemoglu2001colonial,LOOKUP,True,JRN-1257-AER,AEA Code,,CrossRef,0.92,LONG_CODE pattern in AEA Code era - not predictable,American Economic Review,2001,91,5,1369--1401
acemoglu2012nations,SKIP,False,,,,,0.0,Entry type 'book' - not a journal article,,2012,,,
barro1992convergence,LOOKUP,True,JRN-1086-JPE,Chicago,,Chicago/CrossRef,0.0,NUMERIC pattern in Chicago era - not predictable,Journal of Political Economy,1992,100,2,223--251
easterly2001factor,LOOKUP,False,,,,CrossRef,0.0,Journal not in database: World Bank Economic Review,World Bank Economic Review,2001,15,2,177--219
galor2011unified,SKIP,False,,,,,0.0,Entry type 'book' - not a journal article,,2011,,,
rodrik2007one,SKIP,False,,,,,0.0,Entry type 'book' - not a journal article,,2007,,,
becker1962investment,LOOKUP,True,JRN-1086-JPE,Chicago,,Chicago/CrossRef,0.0,NUMERIC pattern in Chicago era - not predictable,Journal of Political Economy,1962,70,5,9--49
arrow1962learning,LOOKUP,True,JRN-1093-RES,JSTOR Legacy,,JSTOR,0.0,NUMERIC pattern in JSTOR Legacy era - not predictable,Review of Economic Studies,1962,29,3,155--173
card1990mariel,LOOKUP,False,,,,CrossRef,0.0,Journal not in database: Industrial and Labor Relations Review,Industrial and Labor Relations Review,1990,43,2,245--257
imbens1994late,LOOKUP,True,JRN-3982-ECTA,JSTOR Legacy,,JSTOR,0.05,NUMERIC pattern in JSTOR Legacy era - not predictable,Econometrica,1994,62,2,467--475
angrist2009mostly,SKIP,False,,,,,0.0,Entry type 'book' - not a journal article,,2009,,,
acemoglu2011skills,SKIP,False,,,,,0.0,Entry type 'incollection' - not a journal article,,2011,4B,,1043--1171
goldin2008race,SKIP,False,,,,,0.0,Entry type 'book' - not a journal article,,2008,,,
diamond1982search,LOOKUP,True,JRN-1093-RES,JSTOR Legacy,,JSTOR,0.0,NUMERIC pattern in JSTOR Legacy era - not predictable,Review of Economic Studies,1982,49,2,217--227
mortensen1994job,LOOKUP,True,JRN-1093-RES,JSTOR Legacy,,JSTOR,0.0,NUMERIC pattern in JSTOR Legacy era - not predictable,Review of Economic Studies,1994,61,3,397--415
heckman1979selection,LOOKUP,True,JRN-3982-ECTA,JSTOR Legacy,,JSTOR,0.05,NUMERIC pattern in JSTOR Legacy era - not predictable,Econometrica,1979,47,1,153--161
heckman2006earnings,SKIP,False,,,,,0.0,Entry type 'incollection' - not a journal article,,2006,1,,307--458
ashenfelter1985longitudinal,PATTERN,True,JRN-1162-REST,MIT Press,10.1162/rest.{volume}.{issue}.{startpage},,1.0,Predictable pattern for MIT Press era,Review of Economics and Statistics,1985,67,4,648--660
gale1962college,LOOKUP,False,,,,CrossRef,0.0,Journal not in database: American Mathematical Monthly,American Mathematical Monthly,1962,69,1,9--15
shapley1974cores,LOOKUP,False,,,,CrossRef,0.0,Journal not in database: Journal of Mathematical Economics,Journal of Mathematical Economics,1974,1,1,23--37
roth1984evolution,LOOKUP,True,JRN-1086-JPE,Chicago,,Chicago/CrossRef,0.0,NUMERIC pattern in Chicago era - not predictable,Journal of Political Economy,1984,92,6,991--1016
roth2008market,PATTERN,True,JRN-1111-EJ,Wiley,10.1111/j.1468-0297.{year}.{suffix}.x,,0.27,Predictable pattern for Wiley era,Economic Journal,2008,118,527,285--310
roth2015who,SKIP,False,,,,,0.0,Entry type 'book' - not a journal article,,2015,,,
abdulkadiroglu2005nyc,LOOKUP,True,JRN-1257-AER,AEA Code,,CrossRef,0.92,LONG_CODE pattern in AEA Code era - not predictable,American Economic Review P\&P,2005,95,2,364--367
abdulkadiroglu2005boston,LOOKUP,True,JRN-1257-AER,AEA Code,,CrossRef,0.92,LONG_CODE pattern in AEA Code era - not predictable,American Economic Review P\&P,2005,95,2,368--371
niederle2003unraveling,LOOKUP,True,JRN-1086-JPE,Chicago,,Chicago/CrossRef,0.0,NUMERIC pattern in Chicago era - not predictable,Journal of Political Economy,2003,111,6,1342--1352
niederle2009market,PATTERN,True,JRN-1111-EJ,Wiley,10.1111/j.1468-0297.{year}.{suffix}.x,,0.27,Predictable pattern for Wiley era,American Economic Journal: Microeconomics,2009,1,2,199--219
sonmez2010house,PATTERN,True,JRN-1016-GEB,Modern Elsevier,10.1016/j.geb.{year}.{month}.{article},,0.75,Predictable pattern for Modern Elsevier era,Games and Economic Behavior,2010,69,2,425--445
ashlagi2014free,LOOKUP,False,,,,CrossRef,0.0,Journal not in database: Theoretical Economics,Theoretical Economics,2014,9,3,817--863
kominers2016matching,LOOKUP,False,,,,CrossRef,0.0,Journal not in database: Theoretical Economics,Theoretical Economics,2016,11,2,683--710
bain1956barriers,SKIP,False,,,,,0.0,Entry type 'book' - not a journal article,,1956,,,
stigler1964oligopoly,LOOKUP,True,JRN-1086-JPE,Chicago,,Chicago/CrossRef,0.0,NUMERIC pattern in Chicago era - not predictable,Journal of Political Economy,1964,72,1,44--61
porter1980competitive,SKIP,False,,,,,0.0,Entry type 'book' - not a journal article,,1980,,,
dixit1980entry,LOOKUP,True,JRN-1111-EJ,JSTOR Legacy,,JSTOR,0.27,NUMERIC pattern in JSTOR Legacy era - not predictable,Economic Journal,1980,90,357,95--106
kreps1982reputation,PATTERN,True,JRN-1016-JET,Elsevier,10.1016/j.jet.{year}.{month}.{article},,0.8,Predictable pattern for Elsevier era,Journal of Economic Theory,1982,27,2,253--279
williamson1985institutions,SKIP,False,,,,,0.0,Entry type 'book' - not a journal article,,1985,,,
shapiro1999information,SKIP,False,,,,,0.0,Entry type 'book' - not a journal article,,1999,,,
rochet2003platform,LOOKUP,True,JRN-1093-JEEA,MIT Press,,CrossRef,0.0,LONG_CODE pattern in MIT Press era - not predictable,Journal of the European Economic Association,2003,1,4,990--1029
armstrong2006platform,LOOKUP,True,JRN-2307-RAND,JSTOR,,JSTOR,0.0,NUMERIC pattern in JSTOR era - not predictable,RAND Journal of Economics,2006,37,3,668--691
stigler1971regulation,LOOKUP,False,,,,CrossRef,0.0,Journal not in database: Bell Journal of Economics,Bell Journal of Economics,1971,2,1,3--21
laffont1993incentives,SKIP,False,,,,,0.0,Entry type 'book' - not a journal article,,1993,,,
bresnahan1989empirical,SKIP,False,,,,,0.0,Entry type 'incollection' - not a journal article,,1989,2,,1011--1057
sutton1991sunk,SKIP,False,,,,,0.0,Entry type 'book' - not a journal article,,1991,,,
schmalensee1989studies,SKIP,False,,,,,0.0,Entry type 'incollection' - not a journal article,,1989,2,,951--1009
arrow1954existence,LOOKUP,True,JRN-3982-ECTA,JSTOR Legacy,,JSTOR,0.05,NUMERIC pattern in JSTOR Legacy era - not predictable,Econometrica,1954,22,3,265--290
PAP-akerlof2000identity,LOOKUP,True,JRN-1093-QJE,MIT Press,,CrossRef,0.01,LONG_CODE pattern in MIT Press era - not predictable,Quarterly Journal of Economics,2000,115,3,715--753
aghion2009economics,SKIP,False,,,,,0.0,Entry type 'book' - not a journal article,,2009,,,
roberts2004modern,SKIP,False,,,,,0.0,Entry type 'book' - not a journal article,,2004,,,
lintner1965valuation,PATTERN,True,JRN-1162-REST,MIT Press,10.1162/rest.{volume}.{issue}.{startpage},,1.0,Predictable pattern for MIT Press era,Review of Economics and Statistics,1965,47,1,13--37
PAP-north1990institutions,SKIP,False,,,,,0.0,Entry type 'book' - not a journal article,,1990,,,
samuelson1947foundations,SKIP,False,,,,,0.0,Entry type 'book' - not a journal article,,1947,,,
coase1937firm,LOOKUP,False,,,,CrossRef,0.0,Journal not in database: Economica,Economica,1937,4,16,386--405
becker1976economic,SKIP,False,,,,,0.0,Entry type 'book' - not a journal article,,1976,,,
nash1950equilibrium,LOOKUP,True,JRN-1126-SCI,All Years,,Publisher/CrossRef,0.0,OTHER pattern in All Years era - not predictable,Proceedings of the National Academy of Sciences,1950,36,1,48--49
lucas1976critique,LOOKUP,False,,,,CrossRef,0.0,Journal not in database: Carnegie-Rochester Conference Series on Public Policy,Carnegie-Rochester Conference Series on Public Policy,1976,1,,19--46
sen1999development,SKIP,False,,,,,0.0,Entry type 'book' - not a journal article,,1999,,,
krugman1991geography,LOOKUP,True,JRN-1086-JPE,Chicago,,Chicago/CrossRef,0.0,NUMERIC pattern in Chicago era - not predictable,Journal of Political Economy,1991,99,3,483--499
fudenberg1991game,SKIP,False,,,,,0.0,Entry type 'book' - not a journal article,,1991,,,
fehr2007biology,LOOKUP,True,JRN-1093-JEEA,Wiley,,CrossRef,0.0,OTHER pattern in Wiley era - not predictable,Journal of the European Economic Association,2009,7,2-3,235--266
falk2006hidden,PATTERN,True,JRN-1016-GEB,Modern Elsevier,10.1016/j.geb.{year}.{month}.{article},,0.75,Predictable pattern for Modern Elsevier era,Games and Economic Behavior,2006,54,2,293--315
fehr2009neuroeconomics,LOOKUP,True,JRN-1093-JEEA,Wiley,,CrossRef,0.0,OTHER pattern in Wiley era - not predictable,Journal of the European Economic Association,2009,7,2-3,235--266
kosfeld2005oxytocin,LOOKUP,True,JRN-1038-NAT,All Years,,Publisher/CrossRef,0.0,ALPHA_NUM pattern in All Years era - not predictable,Nature,2005,435,7042,673--676
acemoglu2019democracy,LOOKUP,True,JRN-1086-JPE,Chicago,,Chicago/CrossRef,0.0,NUMERIC pattern in Chicago era - not predictable,Journal of Political Economy,2019,127,1,47--100
acemoglu2020robots,LOOKUP,True,JRN-1086-JPE,Chicago,,Chicago/CrossRef,0.0,NUMERIC pattern in Chicago era - not predictable,Journal of Political Economy,2020,128,6,2188--2244
acemoglu2018artificial,PATTERN,True,JRN-3386-NBER,NBER,10.3386/w{number},,1.0,Predictable pattern for NBER era,NBER Working Paper,2018,,24196,
acemoglu2011skills,SKIP,False,,,,,0.0,Entry type 'incollection' - not a journal article,,2011,4B,,1043--1171
acemoglu1998training,LOOKUP,True,JRN-1093-QJE,MIT Press,,CrossRef,0.01,LONG_CODE pattern in MIT Press era - not predictable,Quarterly Journal of Economics,1998,113,1,79--119
laporta1998law,LOOKUP,True,JRN-1086-JPE,Chicago,,Chicago/CrossRef,0.0,NUMERIC pattern in Chicago era - not predictable,Journal of Political Economy,1998,106,6,1113--1155
laporta1997legal,LOOKUP,True,JRN-1111-JF,JSTOR Legacy,,JSTOR,0.75,NUMERIC pattern in JSTOR Legacy era - not predictable,Journal of Finance,1997,52,3,1131--1150
laporta1999quality,LOOKUP,True,JRN-1093-JLEO,Oxford,,CrossRef,0.0,ALPHA_NUM pattern in Oxford era - not predictable,"Journal of Law, Economics, and Organization",1999,15,1,222--279
delong1990noise,LOOKUP,True,JRN-1086-JPE,Chicago,,Chicago/CrossRef,0.0,NUMERIC pattern in Chicago era - not predictable,Journal of Political Economy,1990,98,4,703--738
shleifer1998grabbing,LOOKUP,False,,,,CrossRef,0.0,Journal not in database: Harvard University Press,Harvard University Press,1998,,,
shleifer1993corruption,LOOKUP,True,JRN-1093-QJE,JSTOR Legacy,,JSTOR,0.01,NUMERIC pattern in JSTOR Legacy era - not predictable,Quarterly Journal of Economics,1993,108,3,599--617
heckman1976common,LOOKUP,False,,,,CrossRef,0.0,Journal not in database: Annals of Economic and Social Measurement,Annals of Economic and Social Measurement,1976,5,4,475--492
heckman1998life,LOOKUP,True,JRN-1086-JPE,Chicago,,Chicago/CrossRef,0.0,NUMERIC pattern in Chicago era - not predictable,Journal of Political Economy,1998,106,2,262--333
heckman2008schools,PATTERN,True,JRN-1111-EI,Wiley,10.1111/j.1465-7295.{year}.{suffix}.x,,0.5,Predictable pattern for Wiley era,Economic Inquiry,2008,46,3,289--324
heckman2010analyzing,LOOKUP,False,,,,CrossRef,0.0,Journal not in database: Quantitative Economics,Quantitative Economics,2010,1,1,1--46
heckman2013understanding,PATTERN,True,JRN-1257-AER,Modern,10.1257/aer.{volume}.{issue}.{startpage},,0.92,Predictable pattern for Modern era,American Economic Review,2013,103,6,2052--2086
autor2016china,LOOKUP,True,JRN-1146-ARE,Annual Reviews,,CrossRef,0.0,OTHER pattern in Annual Reviews era - not predictable,Annual Review of Economics,2016,8,,205--240
autor2019work,LOOKUP,False,,,,CrossRef,0.0,Journal not in database: AEA Papers and Proceedings,AEA Papers and Proceedings,2019,109,,1--32
autor2007costs,PATTERN,True,JRN-1111-EJ,Wiley,10.1111/j.1468-0297.{year}.{suffix}.x,,0.27,Predictable pattern for Wiley era,Economic Journal,2007,117,521,F189--F217
duflo2003grandmothers,LOOKUP,False,,,,CrossRef,0.0,Journal not in database: World Bank Economic Review,World Bank Economic Review,2003,17,1,1--25
banerjee2015rct,LOOKUP,True,JRN-1126-SCI,All Years,,Publisher/CrossRef,0.0,OTHER pattern in All Years era - not predictable,Science,2015,348,6236,
duflo2007water,LOOKUP,True,JRN-1086-JPE,Chicago,,Chicago/CrossRef,0.0,NUMERIC pattern in Chicago era - not predictable,Journal of Political Economy,2005,113,1,83--120
kremer2004worms,LOOKUP,True,JRN-3982-ECTA,Wiley,,CrossRef,0.05,OTHER pattern in Wiley era - not predictable,Econometrica,2004,72,1,159--217
banerjee2011poor,SKIP,False,,,,,0.0,Entry type 'book' - not a journal article,,2011,,,
bloom2007uncertainty,LOOKUP,True,JRN-1093-RES,Wiley,,CrossRef,0.0,OTHER pattern in Wiley era - not predictable,Review of Economic Studies,2007,74,2,391--415
bloom2012management,LOOKUP,False,,,,CrossRef,0.0,Journal not in database: Academy of Management Perspectives,Academy of Management Perspectives,2012,26,1,12--33
bloom2018really,PATTERN,True,JRN-1257-AER,Modern,10.1257/aer.{volume}.{issue}.{startpage},,0.92,Predictable pattern for Modern era,American Economic Review,2020,110,4,1104--1144
dupas2011teenagers,PATTERN,True,JRN-1111-EJ,Wiley,10.1111/j.1468-0297.{year}.{suffix}.x,,0.27,Predictable pattern for Wiley era,American Economic Journal: Applied Economics,2011,3,1,1--34
psacharopoulos2018returns,LOOKUP,False,,,,CrossRef,0.0,Journal not in database: Education Economics,Education Economics,2018,26,5,445--458
alesina2003fractionalization,LOOKUP,True,JRN-1007-JEG,Springer,,CrossRef,0.0,ALPHA_NUM pattern in Springer era - not predictable,Journal of Economic Growth,2003,8,2,155--194
athey2019machine,LOOKUP,True,JRN-1146-ARE,Annual Reviews,,CrossRef,0.0,OTHER pattern in Annual Reviews era - not predictable,Annual Review of Economics,2019,11,,685--725
mullainathan2017machine,PATTERN,True,JRN-1257-JEP,Modern,10.1257/jep.{volume}.{issue}.{startpage},,0.96,Predictable pattern for Modern era,Journal of Economic Perspectives,2017,31,2,87--106
hanushek2012education,LOOKUP,True,JRN-1007-JEG,Springer,,CrossRef,0.0,ALPHA_NUM pattern in Springer era - not predictable,Journal of Economic Growth,2012,17,4,267--321
piketty2014capital,SKIP,False,,,,,0.0,Entry type 'book' - not a journal article,,2014,,,
keynes1936general,SKIP,False,,,,,0.0,Entry type 'book' - not a journal article,,1936,,,
marshall1890principles,SKIP,False,,,,,0.0,Entry type 'book' - not a journal article,,1890,,,
mill1848principles,SKIP,False,,,,,0.0,Entry type 'book' - not a journal article,,1848,,,
smith1759moral,SKIP,False,,,,,0.0,Entry type 'book' - not a journal article,,1759,,,
smith1776wealth,SKIP,False,,,,,0.0,Entry type 'book' - not a journal article,,1776,,,
debreu1959theory,SKIP,False,,,,,0.0,Entry type 'book' - not a journal article,,1959,,,
sonnenschein1972market,LOOKUP,True,JRN-3982-ECTA,JSTOR Legacy,,JSTOR,0.05,NUMERIC pattern in JSTOR Legacy era - not predictable,Econometrica,1972,40,3,549--563
dana2007exploiting,PATTERN,True,JRN-1016-JET,Elsevier,10.1016/j.jet.{year}.{month}.{article},,0.8,Predictable pattern for Elsevier era,Economic Theory,2007,33,1,67--80
stigler1977gustibus,LOOKUP,True,JRN-1257-AER,AEA Code,,CrossRef,0.92,LONG_CODE pattern in AEA Code era - not predictable,American Economic Review,1977,67,2,76--90
guth1982ultimatum,LOOKUP,True,JRN-1016-JEBO,Old Elsevier,,CrossRef,0.12,OTHER pattern in Old Elsevier era - not predictable,Journal of Economic Behavior \& Organization,1982,3,4,367--388
henrich2010weirdest,LOOKUP,True,JRN-1126-SCI,All Years,,Publisher/CrossRef,0.0,OTHER pattern in All Years era - not predictable,Behavioral and Brain Sciences,2010,33,2-3,61--83
fehr2007social,LOOKUP,True,JRN-1126-SCI,All Years,,Publisher/CrossRef,0.0,OTHER pattern in All Years era - not predictable,Trends in Cognitive Sciences,2007,11,10,419--427
list2008testing,LOOKUP,True,JRN-1086-JPE,Chicago,,Chicago/CrossRef,0.0,NUMERIC pattern in Chicago era - not predictable,Journal of Political Economy,2011,119,1,1--31
ostrom1990governing,SKIP,False,,,,,0.0,Entry type 'book' - not a journal article,,1990,,,
knack2001trust,LOOKUP,True,JRN-1111-EJ,JSTOR Legacy,,JSTOR,0.27,NUMERIC pattern in JSTOR Legacy era - not predictable,Economic Journal,1997,107,444,1251--1288
zak2001trust,PATTERN,True,JRN-1111-EJ,Wiley,10.1111/j.1468-0297.{year}.{suffix}.x,,0.27,Predictable pattern for Wiley era,Economic Journal,2001,111,470,295--321
slemrod1992did,LOOKUP,False,,,,CrossRef,0.0,Journal not in database: University of Michigan Press,University of Michigan Press,1992,,,
axelrod1984evolution,SKIP,False,,,,,0.0,Entry type 'book' - not a journal article,,1984,,,
arthur1989increasing,SKIP,False,,,,,0.0,Entry type 'book' - not a journal article,,1994,,,
arthur2015complexity,SKIP,False,,,,,0.0,Entry type 'book' - not a journal article,,2015,,,
vaswani2017attention,LOOKUP,False,,,,CrossRef,0.0,Journal not in database: Advances in Neural Information Processing Systems,Advances in Neural Information Processing Systems,2017,30,,
brown2020language,LOOKUP,False,,,,CrossRef,0.0,Journal not in database: Advances in Neural Information Processing Systems,Advances in Neural Information Processing Systems,2020,33,,1877--1901
gentzkow2019text,PATTERN,True,JRN-1257-JEL,Modern,10.1257/jel.{volume}.{issue}.{startpage},,0.71,Predictable pattern for Modern era,Journal of Economic Literature,2019,57,3,535--574
edgeworth1881mathematical,SKIP,False,,,,,0.0,Entry type 'book' - not a journal article,,1881,,,
granovetter1985economic,LOOKUP,False,,,,CrossRef,0.0,Journal not in database: American Journal of Sociology,American Journal of Sociology,1985,91,3,481--510
hall2001varieties,SKIP,False,,,,,0.0,Entry type 'book' - not a journal article,,2001,,,
vives2005complementarities,PATTERN,True,JRN-1257-JEL,Modern,10.1257/jel.{volume}.{issue}.{startpage},,0.71,Predictable pattern for Modern era,Journal of Economic Literature,2005,43,2,437--479
bowles2004microeconomics,SKIP,False,,,,,0.0,Entry type 'book' - not a journal article,,2004,,,
boyd2005origin,SKIP,False,,,,,0.0,Entry type 'book' - not a journal article,,2005,,,
gintis2007moral,SKIP,False,,,,,0.0,Entry type 'book' - not a journal article,,2005,,,
arthur1994increasing,SKIP,False,,,,,0.0,Entry type 'book' - not a journal article,,1994,,,
ogburn1922cultural,LOOKUP,False,,,,CrossRef,0.0,Journal not in database: B.W. Huebsch,B.W. Huebsch,1922,,,
schelling1978micromotives,SKIP,False,,,,,0.0,Entry type 'book' - not a journal article,,1978,,,
putnam2000bowling,SKIP,False,,,,,0.0,Entry type 'book' - not a journal article,,2000,,,
weitzman2009additive,PATTERN,True,JRN-1162-REST,MIT Press,10.1162/rest.{volume}.{issue}.{startpage},,1.0,Predictable pattern for MIT Press era,Review of Economics and Statistics,2009,91,1,1--19
heckscher1919effect,SKIP,False,,,,,0.0,Entry type 'book' - not a journal article,Ekonomisk Tidskrift,1919,,,
ohlin1933interregional,SKIP,False,,,,,0.0,Entry type 'book' - not a journal article,,1933,,,
tesfatsion2006handbook,SKIP,False,,,,,0.0,Entry type 'book' - not a journal article,,2006,,,
bergsend1995growth,LOOKUP,False,,,,CrossRef,0.0,Journal not in database: University of Chicago Press,University of Chicago Press,1988,,,
fehr2009neuro,PATTERN,True,JRN-1257-JEP,Modern,10.1257/jep.{volume}.{issue}.{startpage},,0.96,Predictable pattern for Modern era,Journal of Economic Perspectives,2011,25,4,3--30
maynardsmith1973logic,LOOKUP,True,JRN-1038-NAT,All Years,,Publisher/CrossRef,0.0,ALPHA_NUM pattern in All Years era - not predictable,Nature,1973,246,,15--18
maynardsmith1982evolution,SKIP,False,,,,,0.0,Entry type 'book' - not a journal article,,1982,,,
weibull1995evolutionary,SKIP,False,,,,,0.0,Entry type 'book' - not a journal article,,1995,,,
hofbauer1998evolutionary,SKIP,False,,,,,0.0,Entry type 'book' - not a journal article,,1998,,,
kandori1993learning,LOOKUP,True,JRN-3982-ECTA,JSTOR Legacy,,JSTOR,0.05,NUMERIC pattern in JSTOR Legacy era - not predictable,Econometrica,1993,61,1,29--56
young1993evolution,LOOKUP,True,JRN-3982-ECTA,JSTOR Legacy,,JSTOR,0.05,NUMERIC pattern in JSTOR Legacy era - not predictable,Econometrica,1993,61,1,57--84
fudenberg1998learning,SKIP,False,,,,,0.0,Entry type 'book' - not a journal article,,1998,,,
samuelson1997evolutionary,SKIP,False,,,,,0.0,Entry type 'book' - not a journal article,,1997,,,
binmore1994playing,SKIP,False,,,,,0.0,Entry type 'book' - not a journal article,,1994,,,
binmore1998just,SKIP,False,,,,,0.0,Entry type 'book' - not a journal article,,1998,,,
gintis2000game,SKIP,False,,,,,0.0,Entry type 'book' - not a journal article,,2000,,,
boyd1985culture,SKIP,False,,,,,0.0,Entry type 'book' - not a journal article,,1985,,,
boyd2005not,SKIP,False,,,,,0.0,Entry type 'book' - not a journal article,,2005,,,
PAP-camerer2003behavioral,SKIP,False,,,,,0.0,Entry type 'book' - not a journal article,,2003,,,
stahl1994experimental,LOOKUP,True,JRN-1016-JEBO,Old Elsevier,,CrossRef,0.12,OTHER pattern in Old Elsevier era - not predictable,Journal of Economic Behavior \& Organization,1994,25,3,309--327
