rank,paper_id,bibtex_key,title,first_author,year,doi,journal,content_level,integration_level,prior_score,has_full_text,linked_cases,has_theory_support,use_for_count,priority_score,upload_action,researcher,fetch_urls
11,PAP-henrich2001search,henrich2001search,In Search of Homo Economicus: Behavioral Experiments in 15 S...,Henrich,2001,10.1257/aer.91.2.73,,L2,I3,0.45,True,84,True,3,517.5,UPGRADE_TO_L3,"{'name': 'Joseph Henrich', 'department': {'url': 'https://henrich.fas.harvard.edu/publications', 'site_pattern': 'harvard.edu', 'institution': 'Harvard University', 'search_hint': 'In Search of Homo Economicus: Behavioral Experiments in 15 S filetype:pdf site:harvard.edu'}, 'personal': None}","['https://api.unpaywall.org/v2/10.1257/aer.91.2.73?email=research@fehradvice.com', 'https://doi.org/10.1257/aer.91.2.73']"
12,PAP-kahneman1986loss,kahneman1986loss,Loss Aversion and Riskless Choice,Kahneman,1986,null,,L2,I3,0.4392,False,40,True,1,517.0,UPLOAD_FULLTEXT,"{'name': 'Daniel Kahneman', 'department': {'url': 'https://scholar.princeton.edu/kahneman/publications', 'site_pattern': 'princeton.edu', 'institution': 'Princeton University', 'search_hint': 'Loss Aversion and Riskless Choice filetype:pdf site:princeton.edu'}, 'personal': None}","['https://api.unpaywall.org/v2/null?email=research@fehradvice.com', 'https://doi.org/null']"
13,PAP-fehr2013implicit,fehr2013implicit,Implicit Fairness Preferences,Fehr,2013,null,,L2,I3,0.4322,False,84,True,3,516.6,UPLOAD_FULLTEXT,"{'name': 'Ernst Fehr', 'department': {'url': 'https://www.econ.uzh.ch/en/people/faculty/fehr/publications.html', 'site_pattern': 'econ.uzh.ch', 'institution': 'University of Zurich', 'search_hint': 'Implicit Fairness Preferences filetype:pdf site:econ.uzh.ch'}, 'personal': None}","['https://api.unpaywall.org/v2/null?email=research@fehradvice.com', 'https://doi.org/null']"
14,PAP-cosmides1994cognitive,cosmides1994cognitive,Better than Rational: Evolutionary Psychology and the Invisi...,Cosmides,1994,null,,L2,I3,0.4257,False,68,False,1,516.3,UPLOAD_FULLTEXT,"{'name': 'Leda Cosmides', 'department': {'url': 'https://www.psych.ucsb.edu/people/faculty/cosmides', 'site_pattern': 'ucsb.edu', 'institution': 'UC Santa Barbara', 'search_hint': 'Better than Rational: Evolutionary Psychology and the Invisi filetype:pdf site:ucsb.edu'}, 'personal': None}","['https://api.unpaywall.org/v2/null?email=research@fehradvice.com', 'https://doi.org/null']"
15,PAP-fehr2009time,fehr2009time,Fairness and Contract Design,Fehr,2009,null,,L2,I3,0.4245,False,32,True,3,516.2,UPLOAD_FULLTEXT,"{'name': 'Ernst Fehr', 'department': {'url': 'https://www.econ.uzh.ch/en/people/faculty/fehr/publications.html', 'site_pattern': 'econ.uzh.ch', 'institution': 'University of Zurich', 'search_hint': 'Fairness and Contract Design filetype:pdf site:econ.uzh.ch'}, 'personal': None}","['https://api.unpaywall.org/v2/null?email=research@fehradvice.com', 'https://doi.org/null']"
16,PAP-kahneman2012new,kahneman2012new,New Perspectives on Behavioral Finance,Kahneman,2012,null,,L2,I3,0.3672,False,75,True,1,513.4,UPLOAD_FULLTEXT,"{'name': 'Daniel Kahneman', 'department': {'url': 'https://scholar.princeton.edu/kahneman/publications', 'site_pattern': 'princeton.edu', 'institution': 'Princeton University', 'search_hint': 'New Perspectives on Behavioral Finance filetype:pdf site:princeton.edu'}, 'personal': None}","['https://api.unpaywall.org/v2/null?email=research@fehradvice.com', 'https://doi.org/null']"
17,PAP-fehr2010bonus,fehr2010bonus,The Impact of Organizational Structure and Process on Outcom...,Fehr,2010,null,,L2,I3,0.3595,False,32,True,2,513.0,UPLOAD_FULLTEXT,"{'name': 'Ernst Fehr', 'department': {'url': 'https://www.econ.uzh.ch/en/people/faculty/fehr/publications.html', 'site_pattern': 'econ.uzh.ch', 'institution': 'University of Zurich', 'search_hint': 'The Impact of Organizational Structure and Process on Outcom filetype:pdf site:econ.uzh.ch'}, 'personal': None}","['https://api.unpaywall.org/v2/null?email=research@fehradvice.com', 'https://doi.org/null']"
18,PAP-fehr2003when,fehr2003when,When Social Norms Overpower Competition,Fehr,2003,null,,L2,I3,0.3553,False,31,True,4,512.8,UPLOAD_FULLTEXT,"{'name': 'Ernst Fehr', 'department': {'url': 'https://www.econ.uzh.ch/en/people/faculty/fehr/publications.html', 'site_pattern': 'econ.uzh.ch', 'institution': 'University of Zurich', 'search_hint': 'When Social Norms Overpower Competition filetype:pdf site:econ.uzh.ch'}, 'personal': None}","['https://api.unpaywall.org/v2/null?email=research@fehradvice.com', 'https://doi.org/null']"
19,PAP-fehr2013behavioral,fehr2013behavioral,Behavioral Insights into Policy Design,Fehr,2013,null,,L2,I3,0.3515,False,176,True,3,512.6,UPLOAD_FULLTEXT,"{'name': 'Ernst Fehr', 'department': {'url': 'https://www.econ.uzh.ch/en/people/faculty/fehr/publications.html', 'site_pattern': 'econ.uzh.ch', 'institution': 'University of Zurich', 'search_hint': 'Behavioral Insights into Policy Design filetype:pdf site:econ.uzh.ch'}, 'personal': None}","['https://api.unpaywall.org/v2/null?email=research@fehradvice.com', 'https://doi.org/null']"
20,PAP-thaler2000atus,thaler2000atus,Mental Accounting and the Equity Premium Puzzle,Thaler,2000,10.1086/209749,,L2,I3,0.3512,False,204,True,2,512.6,UPLOAD_FULLTEXT,"{'name': 'Richard Thaler', 'department': {'url': 'https://faculty.chicagobooth.edu/richard-thaler/research', 'site_pattern': 'chicagobooth.edu', 'institution': 'Chicago Booth', 'search_hint': 'Mental Accounting and the Equity Premium Puzzle filetype:pdf site:chicagobooth.edu'}, 'personal': None}","['https://api.unpaywall.org/v2/10.1086/209749?email=research@fehradvice.com', 'https://doi.org/10.1086/209749']"
21,PAP-kahneman2002well,kahneman2002well,Well-Being: The Foundations of Hedonic Psychology,Kahneman,2002,null,,L2,I3,0.3474,False,140,True,1,512.4,UPLOAD_FULLTEXT,"{'name': 'Daniel Kahneman', 'department': {'url': 'https://scholar.princeton.edu/kahneman/publications', 'site_pattern': 'princeton.edu', 'institution': 'Princeton University', 'search_hint': 'Well-Being: The Foundations of Hedonic Psychology filetype:pdf site:princeton.edu'}, 'personal': None}","['https://api.unpaywall.org/v2/null?email=research@fehradvice.com', 'https://doi.org/null']"
22,PAP-kahneman1988mental,kahneman1988mental,Mental Simulation and Decision-Making,Kahneman,1988,null,,L2,I3,0.3435,False,233,True,1,512.2,UPLOAD_FULLTEXT,"{'name': 'Daniel Kahneman', 'department': {'url': 'https://scholar.princeton.edu/kahneman/publications', 'site_pattern': 'princeton.edu', 'institution': 'Princeton University', 'search_hint': 'Mental Simulation and Decision-Making filetype:pdf site:princeton.edu'}, 'personal': None}","['https://api.unpaywall.org/v2/null?email=research@fehradvice.com', 'https://doi.org/null']"
23,PAP-fehr1994punishment,fehr1994punishment,Costly Punishment Sustains Cooperation,Fehr,1994,null,,L2,I3,0.3399,False,84,True,3,512.0,UPLOAD_FULLTEXT,"{'name': 'Ernst Fehr', 'department': {'url': 'https://www.econ.uzh.ch/en/people/faculty/fehr/publications.html', 'site_pattern': 'econ.uzh.ch', 'institution': 'University of Zurich', 'search_hint': 'Costly Punishment Sustains Cooperation filetype:pdf site:econ.uzh.ch'}, 'personal': None}","['https://api.unpaywall.org/v2/null?email=research@fehradvice.com', 'https://doi.org/null']"
24,PAP-puntoni2021consumers,puntoni2021consumers,Consumers and Artificial Intelligence: An Experiential Perspective,"Puntoni, Stefano",2021,10.1177/0022242920953847,Journal of Marketing,L2,I4,0.3311,True,0,True,9,511.6,UPGRADE_TO_L3,"{'name': 'Stefano Puntoni', 'department': {'url': 'https://www.wharton.upenn.edu/faculty/platform/profile/stefano-puntoni/', 'site_pattern': 'upenn.edu', 'institution': 'Wharton, UPenn', 'search_hint': 'Consumers and Artificial Intelligence: An Experiential Persp filetype:pdf site:upenn.edu'}, 'personal': None}","['https://api.unpaywall.org/v2/10.1177/0022242920953847?email=research@fehradvice.com', 'https://doi.org/10.1177/0022242920953847']"
25,PAP-becker1965theory,becker1965theory,A Theory of the Allocation of Time,"Becker, Gary S.",1965,10.2307/2228949,Economic Journal,L2,I4,0.3015,True,0,True,9,510.1,UPGRADE_TO_L3,"{'name': 'Gary Becker', 'department': {'url': 'https://www.chicagobooth.edu/faculty/directory/b/gary-s-becker', 'site_pattern': 'chicagobooth.edu', 'institution': 'Chicago Booth (archive)', 'search_hint': 'A Theory of the Allocation of Time filetype:pdf site:chicagobooth.edu'}, 'personal': None}","['https://api.unpaywall.org/v2/10.2307/2228949?email=research@fehradvice.com', 'https://doi.org/10.2307/2228949']"
26,PAP-fehr2010perspective,fehr2010perspective,Perspective on Future Behavioral Research,Fehr,2010,null,,L2,I3,0.287,False,68,True,3,509.4,UPLOAD_FULLTEXT,"{'name': 'Ernst Fehr', 'department': {'url': 'https://www.econ.uzh.ch/en/people/faculty/fehr/publications.html', 'site_pattern': 'econ.uzh.ch', 'institution': 'University of Zurich', 'search_hint': 'Perspective on Future Behavioral Research filetype:pdf site:econ.uzh.ch'}, 'personal': None}","['https://api.unpaywall.org/v2/null?email=research@fehradvice.com', 'https://doi.org/null']"
27,PAP-bolton1997reciprocal,bolton1997reciprocal,"A Theory of Equity, Reciprocity, and Competition",Bolton,1997,null,,L2,I3,0.2723,False,84,True,2,508.6,UPLOAD_FULLTEXT,"{'name': 'Gary Bolton', 'department': {'url': 'https://www.mccombs.utexas.edu/faculty/gary-bolton', 'site_pattern': 'utexas.edu', 'institution': 'UT Austin', 'search_hint': 'A Theory of Equity, Reciprocity, and Competition filetype:pdf site:utexas.edu'}, 'personal': None}","['https://api.unpaywall.org/v2/null?email=research@fehradvice.com', 'https://doi.org/null']"
28,PAP-fehr2008implementation,fehr2008implementation,Implementation of Behavioral Economic Policies,Fehr,2008,null,,L2,I3,0.2723,False,176,True,2,508.6,UPLOAD_FULLTEXT,"{'name': 'Ernst Fehr', 'department': {'url': 'https://www.econ.uzh.ch/en/people/faculty/fehr/publications.html', 'site_pattern': 'econ.uzh.ch', 'institution': 'University of Zurich', 'search_hint': 'Implementation of Behavioral Economic Policies filetype:pdf site:econ.uzh.ch'}, 'personal': None}","['https://api.unpaywall.org/v2/null?email=research@fehradvice.com', 'https://doi.org/null']"
29,PAP-thaler1985mental,thaler1985mental,[Title for thaler1985mental],,1985,10.1287/mksc.4.3.199,,L2,I3,0.2721,False,204,True,2,508.6,UPLOAD_FULLTEXT,"{'name': 'Richard Thaler', 'department': {'url': 'https://faculty.chicagobooth.edu/richard-thaler/research', 'site_pattern': 'chicagobooth.edu', 'institution': 'Chicago Booth', 'search_hint': '[Title for thaler1985mental] filetype:pdf site:chicagobooth.edu'}, 'personal': None}","['https://api.unpaywall.org/v2/10.1287/mksc.4.3.199?email=research@fehradvice.com', 'https://doi.org/10.1287/mksc.4.3.199']"
30,PAP-thaler2003choice,thaler2003choice,Libertarian Paternalism,Thaler,2003,10.1111/1467-6419.00242,,L2,I3,0.2672,False,176,True,3,508.4,UPLOAD_FULLTEXT,"{'name': 'Richard Thaler', 'department': {'url': 'https://faculty.chicagobooth.edu/richard-thaler/research', 'site_pattern': 'chicagobooth.edu', 'institution': 'Chicago Booth', 'search_hint': 'Libertarian Paternalism filetype:pdf site:chicagobooth.edu'}, 'personal': None}","['https://api.unpaywall.org/v2/10.1111/1467-6419.00242?email=research@fehradvice.com', 'https://doi.org/10.1111/1467-6419.00242']"
31,PAP-tversky1981framing,tversky1981framing,The Framing of Decisions and the Psychology of Choice,Tversky,1981,10.1126/science.7455683,,L2,I3,0.2672,False,170,True,1,508.4,UPLOAD_FULLTEXT,"{'name': 'Amos Tversky', 'department': {'url': 'https://psychology.stanford.edu/', 'site_pattern': 'stanford.edu', 'institution': 'Stanford University (archive)', 'search_hint': 'The Framing of Decisions and the Psychology of Choice filetype:pdf site:stanford.edu'}, 'personal': None}","['https://api.unpaywall.org/v2/10.1126/science.7455683?email=research@fehradvice.com', 'https://doi.org/10.1126/science.7455683']"
32,PAP-dellavigna2006paying,dellavigna2006paying,Paying Not to Go to the Gym,DellaVigna,2006,10.1257/aer.96.3.694,,L2,I3,0.2623,False,21,True,1,508.1,UPLOAD_FULLTEXT,"{'name': 'Stefano DellaVigna', 'department': {'url': 'https://eml.berkeley.edu/~sdellavi/research.html', 'site_pattern': 'berkeley.edu', 'institution': 'UC Berkeley', 'search_hint': 'Paying Not to Go to the Gym filetype:pdf site:berkeley.edu'}, 'personal': None}","['https://api.unpaywall.org/v2/10.1257/aer.96.3.694?email=research@fehradvice.com', 'https://doi.org/10.1257/aer.96.3.694']"
33,PAP-fehr2004social,fehr2004social,[Title for fehr2004social],,2004,10.1016/j.tics.2004.02.007,,L2,I3,0.2623,False,84,True,3,508.1,UPLOAD_FULLTEXT,"{'name': 'Ernst Fehr', 'department': {'url': 'https://www.econ.uzh.ch/en/people/faculty/fehr/publications.html', 'site_pattern': 'econ.uzh.ch', 'institution': 'University of Zurich', 'search_hint': '[Title for fehr2004social] filetype:pdf site:econ.uzh.ch'}, 'personal': None}","['https://api.unpaywall.org/v2/10.1016/j.tics.2004.02.007?email=research@fehradvice.com', 'https://doi.org/10.1016/j.tics.2004.02.007']"
34,PAP-prelec1991puzzles,prelec1991puzzles,Decision Making Over Time and Under Uncertainty: A Common Ra...,Prelec,1991,10.1287/mnsc.37.7.770,,L2,I3,0.2623,False,40,True,1,508.1,UPLOAD_FULLTEXT,"{'name': 'Drazen Prelec', 'department': {'url': 'https://mitsloan.mit.edu/faculty/directory/drazen-prelec', 'site_pattern': 'mit.edu', 'institution': 'MIT Sloan', 'search_hint': 'Decision Making Over Time and Under Uncertainty: A Common Ra filetype:pdf site:mit.edu'}, 'personal': None}","['https://api.unpaywall.org/v2/10.1287/mnsc.37.7.770?email=research@fehradvice.com', 'https://doi.org/10.1287/mnsc.37.7.770']"
35,PAP-kahneman2003maps,kahneman2003maps,[Title for kahneman2003maps],,2003,10.1257/000282803322655392,,L2,I3,0.2574,False,258,True,1,507.9,UPLOAD_FULLTEXT,"{'name': 'Daniel Kahneman', 'department': {'url': 'https://scholar.princeton.edu/kahneman/publications', 'site_pattern': 'princeton.edu', 'institution': 'Princeton University', 'search_hint': '[Title for kahneman2003maps] filetype:pdf site:princeton.edu'}, 'personal': None}","['https://api.unpaywall.org/v2/10.1257/000282803322655392?email=research@fehradvice.com', 'https://doi.org/10.1257/000282803322655392']"
36,PAP-kahneman2008future,kahneman2008future,The Future of Behavioral Economics,Kahneman,2008,null,,L2,I3,0.2576,False,176,True,1,507.9,UPLOAD_FULLTEXT,"{'name': 'Daniel Kahneman', 'department': {'url': 'https://scholar.princeton.edu/kahneman/publications', 'site_pattern': 'princeton.edu', 'institution': 'Princeton University', 'search_hint': 'The Future of Behavioral Economics filetype:pdf site:princeton.edu'}, 'personal': None}","['https://api.unpaywall.org/v2/null?email=research@fehradvice.com', 'https://doi.org/null']"
37,PAP-benabou2024ends,benabou2024ends,"Ends versus Means: Kantians, Utilitarians, and Moral Decisions","{'family': 'Bénabou', 'given': 'Roland',",2024,10.3386/w32073,,L2,I4,0.253,True,0,True,7,507.6,UPGRADE_TO_L3,"{'name': 'Roland Bénabou', 'department': {'url': 'https://www.princeton.edu/~rbenabou/papers.html', 'site_pattern': 'princeton.edu', 'institution': 'Princeton University', 'search_hint': 'Ends versus Means: Kantians, Utilitarians, and Moral Decisio filetype:pdf site:princeton.edu'}, 'personal': None}","['https://api.unpaywall.org/v2/10.3386/w32073?email=research@fehradvice.com', 'https://www.nber.org/system/files/working_papers/w32073/w32073.pdf', 'https://doi.org/10.3386/w32073']"
38,PAP-benabou2025identity,benabou2025identity,Identity as Self-Image,"Bénabou, Roland; Henkel, Luca",2025,10.3386/w34297,,L2,I4,0.2491,True,0,True,5,507.5,UPGRADE_TO_L3,"{'name': 'Roland Bénabou', 'department': {'url': 'https://www.princeton.edu/~rbenabou/papers.html', 'site_pattern': 'princeton.edu', 'institution': 'Princeton University', 'search_hint': 'Identity as Self-Image filetype:pdf site:princeton.edu'}, 'personal': None}","['https://api.unpaywall.org/v2/10.3386/w34297?email=research@fehradvice.com', 'https://www.nber.org/system/files/working_papers/w34297/w34297.pdf', 'https://doi.org/10.3386/w34297']"
39,PAP-benabou2022hurts,benabou2022hurts,It Hurts To Ask,"Bénabou, Roland; Jaroszewicz, Ania; Loew",2022,10.3386/w30486,NBER Working Paper,L2,I4,0.245,True,0,True,7,507.2,UPGRADE_TO_L3,"{'name': 'Roland Bénabou', 'department': {'url': 'https://www.princeton.edu/~rbenabou/papers.html', 'site_pattern': 'princeton.edu', 'institution': 'Princeton University', 'search_hint': 'It Hurts To Ask filetype:pdf site:princeton.edu'}, 'personal': None}","['https://api.unpaywall.org/v2/10.3386/w30486?email=research@fehradvice.com', 'https://www.nber.org/system/files/working_papers/w30486/w30486.pdf', 'https://doi.org/10.3386/w30486']"
40,PAP-fehr2014evolution,fehr2014evolution,The Evolution of Altruism and Punishment,Fehr,2014,null,,L2,I3,0.2427,False,84,True,2,507.1,UPLOAD_FULLTEXT,"{'name': 'Ernst Fehr', 'department': {'url': 'https://www.econ.uzh.ch/en/people/faculty/fehr/publications.html', 'site_pattern': 'econ.uzh.ch', 'institution': 'University of Zurich', 'search_hint': 'The Evolution of Altruism and Punishment filetype:pdf site:econ.uzh.ch'}, 'personal': None}","['https://api.unpaywall.org/v2/null?email=research@fehradvice.com', 'https://doi.org/null']"
41,PAP-simon1955behavioral,simon1955behavioral,[Title for simon1955behavioral],,1955,10.2307/1884852,,L2,I3,0.239,False,230,False,1,506.9,UPLOAD_FULLTEXT,"{'name': 'Herbert Simon', 'department': {'url': 'https://www.cs.cmu.edu/~simon/', 'site_pattern': 'cmu.edu', 'institution': 'Carnegie Mellon (archive)', 'search_hint': '[Title for simon1955behavioral] filetype:pdf site:cmu.edu'}, 'personal': None}","['https://api.unpaywall.org/v2/10.2307/1884852?email=research@fehradvice.com', 'https://doi.org/10.2307/1884852']"
42,PAP-tversky1974judgment,tversky1974judgment,Judgment under Uncertainty: Heuristics and Biases,Tversky,1974,10.1126/science.185.4157.1124,,L2,I3,0.2378,False,75,True,1,506.9,UPLOAD_FULLTEXT,"{'name': 'Amos Tversky', 'department': {'url': 'https://psychology.stanford.edu/', 'site_pattern': 'stanford.edu', 'institution': 'Stanford University (archive)', 'search_hint': 'Judgment under Uncertainty: Heuristics and Biases filetype:pdf site:stanford.edu'}, 'personal': None}","['https://api.unpaywall.org/v2/10.1126/science.185.4157.1124?email=research@fehradvice.com', 'https://doi.org/10.1126/science.185.4157.1124']"
43,PAP-camerer2009strategic,camerer2009strategic,Strategic Thinking in Markets,Camerer,2009,null,,L2,I3,0.2254,False,204,True,3,506.3,UPLOAD_FULLTEXT,"{'name': 'Colin Camerer', 'department': {'url': 'https://www.hss.caltech.edu/content/colin-f-camerer', 'site_pattern': 'caltech.edu', 'institution': 'Caltech', 'search_hint': 'Strategic Thinking in Markets filetype:pdf site:caltech.edu'}, 'personal': None}","['https://api.unpaywall.org/v2/null?email=research@fehradvice.com', 'https://doi.org/null']"
44,PAP-adolphs2010neurobiology,adolphs2010neurobiology,What Does the Amygdala Do?,Adolphs,2010,10.1016/j.tics.2009.10.011,,L2,I3,0.2194,False,140,False,1,506.0,UPLOAD_FULLTEXT,,"['https://api.unpaywall.org/v2/10.1016/j.tics.2009.10.011?email=research@fehradvice.com', 'https://doi.org/10.1016/j.tics.2009.10.011']"
45,PAP-fehr2004dilemma,fehr2004dilemma,Social Dilemmas and Cooperation,Fehr,2004,null,,L2,I3,0.2179,False,84,True,2,505.9,UPLOAD_FULLTEXT,"{'name': 'Ernst Fehr', 'department': {'url': 'https://www.econ.uzh.ch/en/people/faculty/fehr/publications.html', 'site_pattern': 'econ.uzh.ch', 'institution': 'University of Zurich', 'search_hint': 'Social Dilemmas and Cooperation filetype:pdf site:econ.uzh.ch'}, 'personal': None}","['https://api.unpaywall.org/v2/null?email=research@fehradvice.com', 'https://doi.org/null']"
46,PAP-fehr2011overview,fehr2011overview,Overview of Behavioral Economics,Fehr,2011,null,,L2,I3,0.2176,False,68,True,2,505.9,UPLOAD_FULLTEXT,"{'name': 'Ernst Fehr', 'department': {'url': 'https://www.econ.uzh.ch/en/people/faculty/fehr/publications.html', 'site_pattern': 'econ.uzh.ch', 'institution': 'University of Zurich', 'search_hint': 'Overview of Behavioral Economics filetype:pdf site:econ.uzh.ch'}, 'personal': None}","['https://api.unpaywall.org/v2/null?email=research@fehradvice.com', 'https://doi.org/null']"
47,PAP-kahneman1985ambiguity,kahneman1985ambiguity,The Ambiguity Aversion Puzzle,Kahneman,1985,null,,L2,I3,0.2176,False,75,True,1,505.9,UPLOAD_FULLTEXT,"{'name': 'Daniel Kahneman', 'department': {'url': 'https://scholar.princeton.edu/kahneman/publications', 'site_pattern': 'princeton.edu', 'institution': 'Princeton University', 'search_hint': 'The Ambiguity Aversion Puzzle filetype:pdf site:princeton.edu'}, 'personal': None}","['https://api.unpaywall.org/v2/null?email=research@fehradvice.com', 'https://doi.org/null']"
