# ALPLA Optimal Matched Pairs for Field Experiment
# Sorted by combined distance (PCI + IFI)
#
rank,plant_1,plant_1_name,plant_2,plant_2_name,combined_distance,same_cluster,cluster
70,US-004,Iowa City IA (2),US-016,Houston TX,0.364,False,mixed
71,US-011,Florence KY (1) - L'OREAL,US-016,Houston TX,0.365,False,mixed
72,US-011,Florence KY (1) - L'OREAL,US-017,West Bend WI,0.365,False,mixed
73,US-003,Iowa City IA (1),US-011,Florence KY (1) - L'OREAL,0.372,False,mixed
74,US-012,Florence KY (2) - L'OREAL,US-017,West Bend WI,0.372,False,mixed
75,US-004,Iowa City IA (2),US-006,St Peters MO (1),0.375,False,mixed
76,US-003,Iowa City IA (1),US-010,Bowling Green KY (2) - HENKEL,0.376,False,mixed
77,US-005,Jefferson City MO,US-015,Salt Lake City UT,0.376,False,mixed
78,US-002,Bethlehem PA,US-004,Iowa City IA (2),0.38,False,mixed
79,US-008,Kansas City MO,US-012,Florence KY (2) - L'OREAL,0.38,False,mixed
80,US-015,Salt Lake City UT,US-016,Houston TX,0.38,False,mixed
81,US-003,Iowa City IA (1),US-013,Lima OH,0.384,False,mixed
82,US-013,Lima OH,US-015,Salt Lake City UT,0.386,False,mixed
83,US-001,McDonough GA,US-002,Bethlehem PA,0.387,False,mixed
84,US-012,Florence KY (2) - L'OREAL,US-016,Houston TX,0.39,False,mixed
85,US-005,Jefferson City MO,US-012,Florence KY (2) - L'OREAL,0.397,False,mixed
86,US-005,Jefferson City MO,US-011,Florence KY (1) - L'OREAL,0.4,False,mixed
87,US-016,Houston TX,US-017,West Bend WI,0.401,False,mixed
88,US-006,St Peters MO (1),US-011,Florence KY (1) - L'OREAL,0.406,False,mixed
89,US-005,Jefferson City MO,US-010,Bowling Green KY (2) - HENKEL,0.408,False,mixed
90,US-009,Bowling Green KY (1),US-011,Florence KY (1) - L'OREAL,0.409,False,mixed
91,US-001,McDonough GA,US-007,St Peters MO (2),0.41,False,mixed
92,US-003,Iowa City IA (1),US-014,Dayton OH,0.412,False,mixed
93,US-011,Florence KY (1) - L'OREAL,US-015,Salt Lake City UT,0.412,False,mixed
94,US-009,Bowling Green KY (1),US-012,Florence KY (2) - L'OREAL,0.413,False,mixed
95,US-001,McDonough GA,US-006,St Peters MO (1),0.414,False,mixed
96,US-003,Iowa City IA (1),US-008,Kansas City MO,0.414,False,mixed
97,US-009,Bowling Green KY (1),US-016,Houston TX,0.415,False,mixed
98,US-014,Dayton OH,US-016,Houston TX,0.416,False,mixed
99,US-004,Iowa City IA (2),US-013,Lima OH,0.417,False,mixed
100,US-002,Bethlehem PA,US-016,Houston TX,0.418,False,mixed
101,US-003,Iowa City IA (1),US-006,St Peters MO (1),0.419,False,mixed
102,US-002,Bethlehem PA,US-012,Florence KY (2) - L'OREAL,0.42,False,mixed
103,US-001,McDonough GA,US-008,Kansas City MO,0.422,False,mixed
104,US-001,McDonough GA,US-014,Dayton OH,0.422,False,mixed
105,US-004,Iowa City IA (2),US-014,Dayton OH,0.426,False,mixed
106,US-001,McDonough GA,US-016,Houston TX,0.428,False,mixed
107,US-009,Bowling Green KY (1),US-010,Bowling Green KY (2) - HENKEL,0.429,False,mixed
108,US-001,McDonough GA,US-017,West Bend WI,0.43,False,mixed
109,US-013,Lima OH,US-016,Houston TX,0.43,False,mixed
110,US-005,Jefferson City MO,US-016,Houston TX,0.436,False,mixed
111,US-012,Florence KY (2) - L'OREAL,US-013,Lima OH,0.436,False,mixed
112,US-012,Florence KY (2) - L'OREAL,US-015,Salt Lake City UT,0.436,False,mixed
113,US-002,Bethlehem PA,US-011,Florence KY (1) - L'OREAL,0.437,False,mixed
114,US-006,St Peters MO (1),US-012,Florence KY (2) - L'OREAL,0.439,False,mixed
115,US-012,Florence KY (2) - L'OREAL,US-014,Dayton OH,0.44,False,mixed
116,US-001,McDonough GA,US-009,Bowling Green KY (1),0.444,False,mixed
117,US-011,Florence KY (1) - L'OREAL,US-014,Dayton OH,0.448,False,mixed
118,US-001,McDonough GA,US-013,Lima OH,0.45,False,mixed
119,US-001,McDonough GA,US-015,Salt Lake City UT,0.45,False,mixed
120,US-011,Florence KY (1) - L'OREAL,US-013,Lima OH,0.45,False,mixed
121,US-003,Iowa City IA (1),US-015,Salt Lake City UT,0.453,False,mixed
122,US-010,Bowling Green KY (2) - HENKEL,US-017,West Bend WI,0.454,False,mixed
123,US-001,McDonough GA,US-005,Jefferson City MO,0.456,False,mixed
124,US-007,St Peters MO (2),US-010,Bowling Green KY (2) - HENKEL,0.458,False,mixed
125,US-002,Bethlehem PA,US-010,Bowling Green KY (2) - HENKEL,0.463,False,mixed
126,US-010,Bowling Green KY (2) - HENKEL,US-013,Lima OH,0.466,False,mixed
127,US-008,Kansas City MO,US-010,Bowling Green KY (2) - HENKEL,0.474,False,mixed
128,US-010,Bowling Green KY (2) - HENKEL,US-014,Dayton OH,0.478,False,mixed
129,US-001,McDonough GA,US-003,Iowa City IA (1),0.481,False,mixed
130,US-001,McDonough GA,US-004,Iowa City IA (2),0.498,False,mixed
131,US-001,McDonough GA,US-011,Florence KY (1) - L'OREAL,0.532,False,mixed
132,US-001,McDonough GA,US-012,Florence KY (2) - L'OREAL,0.532,False,mixed
133,US-006,St Peters MO (1),US-010,Bowling Green KY (2) - HENKEL,0.538,False,mixed
134,US-010,Bowling Green KY (2) - HENKEL,US-016,Houston TX,0.539,False,mixed
135,US-010,Bowling Green KY (2) - HENKEL,US-015,Salt Lake City UT,0.552,False,mixed
136,US-001,McDonough GA,US-010,Bowling Green KY (2) - HENKEL,0.628,False,mixed
